Site,spec_code,site_code,trap_type,spec_no,spec_notes,class,order,fam,genus,specie,fun_group,month,start_date,end_date,lat,long,elevation_m,county
Applewood Community Garden,APP-V-1,APP,vane,1,ant,Insecta,Hymenoptera,Formicidae,,,,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-2,APP,vane,2,beetle,Insecta,Coleoptera,,,,,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-3,APP,vane,3,beetle,Insecta,Coleoptera,,,,,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-4,APP,vane,4,beetle,Insecta,Coleoptera,,,,,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-5,APP,vane,5,beetle,Insecta,Coleoptera,,,,,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-6,APP,vane,6,beetle,Insecta,Coleoptera,,,,,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-7,APP,vane,7,unknown bug,Insecta,Hemiptera,,,,,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-8,APP,vane,8,unknown bug,Insecta,Hemiptera,,,,,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-9,APP,vane,9,small bodied fly,Insecta,Diptera,,,,,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-10,APP,vane,10,small bodied fly,Insecta,Diptera,,,,,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-11,APP,vane,11,leaf hopper,Insecta,Hemiptera,Cicadellidae,,,Herbivore,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-12,APP,vane,12,maybe chalcid wasp,Insecta,Hymenoptera,Chalcididae,,,Parasitoid,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-13,APP,vane,13,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-14,APP,vane,14,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-15,APP,vane,15,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-16,APP,vane,16,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-17,APP,vane,17,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-18,APP,vane,18,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-19,APP,vane,19,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-20,APP,vane,20,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-21,APP,vane,21,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-22,APP,vane,22,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-23,APP,vane,23,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-24,APP,vane,24,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-25,APP,vane,25,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-26,APP,vane,26,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-27,APP,vane,27,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-28,APP,vane,28,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-29,APP,vane,29,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-30,APP,vane,30,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-31,APP,vane,31,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-32,APP,vane,32,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-33,APP,vane,33,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-34,APP,vane,34,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-35,APP,vane,35,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-36,APP,vane,36,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-37,APP,vane,37,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-38,APP,vane,38,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-39,APP,vane,39,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-40,APP,vane,40,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-41,APP,vane,41,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-42,APP,vane,42,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-43,APP,vane,43,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-44,APP,vane,44,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-45,APP,vane,45,minute pirate bug,Insecta,Hemiptera,Anthocoridae,Orius,,Predator,July,15-07-2025,18-07-2025,39.76071279,-105.1446095,1687.57,Jefferson
