Site,spec_code,site_code,trap_type,spec_no,spec_notes,class,order,fam,genus,specie,fun_group,month,start_date,end_date,lat,long,elevation_m,county
Applewood Community Garden,APP-V-1,APP,vane,1,UNK,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-2,APP,vane,2,UNK,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-3,APP,vane,3,UNK,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-4,APP,vane,4,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-5,APP,vane,5,fly,Insecta,Diptera,,,,,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-6,APP,vane,6,fly,Insecta,Diptera,,,,,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-7,APP,vane,7,UNK,Insecta,Hemiptera,,,,,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-8,APP,vane,8,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-9,APP,vane,9,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-10,APP,vane,10,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-11,APP,vane,11,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-12,APP,vane,12,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-13,APP,vane,13,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-14,APP,vane,14,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-15,APP,vane,15,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-16,APP,vane,16,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-17,APP,vane,17,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-18,APP,vane,18,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-19,APP,vane,19,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-20,APP,vane,20,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-21,APP,vane,21,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-22,APP,vane,22,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-23,APP,vane,23,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-24,APP,vane,24,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-25,APP,vane,25,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-26,APP,vane,26,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
Applewood Community Garden,APP-V-27,APP,vane,27,springtail,Entognatha,Collembola,,,,Detritivore,June,17-06-2025,20-06-2025,39.76071279,-105.1446095,1687.57,Jefferson
