"Site","site_code","Area_m2","Plots","Lat","Long","estYear","WealthIndex","SocioIndex","PovertyIndex","MedNetWorth","MedHomeVal","VacantHU","RenterHU","PopDen","CrimeIndex","DiversityIndex","BA_Degree","GardenKnowledge","EnvConscious","CWD_m2","wood_m2","FWD_m2","logs","bareground_m2","floral_area_m2","gbif.rich","gbif.shannon","gbif.simpson"
"Applewood Community Garden","APP",627,28,39.76071279,-105.1446095,2007,240,73.6,10,931938,889706,23,101,2227.7,105,37.9,233,126,71,0,137.4375,0,0,2.66,173,113.773960216998,74.8696488085985,46.6818181818183
"Charles Hay Community Garden","CHA",459,25,39.65845813,-104.9720575,2011,99,55.4,60,148202,665720,64,544,6944.1,151,51,639,342,239,10.715,36.145,0,0,0,154.942,86.8508771929825,93.7230817054042,117.166666666667
"Cook Park Community Garden","COO",1364,48,39.6858968,-104.9202609,2021,172,65.5,40,717011,684290,11,115,5489.8,95,52.9,627,280,174,8,198.105,0,3,6.7875,418.896,130.388305322129,109.091060244464,79.2461538461538
"Edison School Community Garden","EDI",523,21,39.76548756,-105.0395583,2009,132,73.4,23,400872,852482,51,467,8735.5,183,48.2,897,422,337,1.875,114.04,0,0,0,171.295,118.727699530516,111.821469239593,75.3030303030302
"Eiber School Community Garden","EIB",579,24,39.7370155,-105.1062374,2013,109,57.6,49,331736,919811,35,149,3543.1,400,67.1,285,177,105,1.1375,119.26,4.38,0,0,149.111,81.1794871794872,67.3736760134394,47.6666666666665
"Gables School and Community Garden","GABL",734,32,39.67926421,-105.0937713,2017,171,61.2,31,761650,656250,7,56,5341.1,91,55.4,388,317,178,0,119.02,0.34,1,0,154.531,130.684210526316,115.007210693561,57
"Gabriel Cam Memorial Community Garden","GABR",738,30,39.72381522,-104.8309439,2017,64,49.4,106,58150,531690,86,674,10163.3,171,88.7,398,430,278,2.565,22.8,0,3,0,81.218,61.4166666666667,33.9116381845013,17.2297297297297
"Greenway Community Garden","GRE",776,35,39.75074088,-104.8969895,2008,144,67.2,41,342481,785000,66,527,9690.7,214,68.6,640,409,302,2.0575,0.65,0,0,0,179.891,137.913580246914,62.400309814094,25.7142857142857
"GW School and Community Garden","GW",474,13,39.70479323,-104.9149051,2016,157,55.7,82,564915,695000,17,133,4680.1,104,64.5,379,216,167,0,37.44,0,1,12.2075,123.114,81.6194029850746,61.3279311434442,38.1206896551725
"Jefferson Green Community Garden","JEF",1104,28,39.65720004,-105.0984888,2019,66,56.2,41,153239,407595,56,466,8603.3,132,65.5,474,369,255,0,175.9325,0,3,5.39,226.324,172.531914893617,99.4379747817817,58.4023668639054
"KCAA Community Studio Garden","KCA",332,18,39.67568994,-105.038795,2015,106,56.5,75,328750,589713,11,127,5846.8,84,83.9,340,308,157,2.11,80.945,0,0,4.395,52.937,122.333333333333,101.104036072715,70
"Market Station Community Garden","MAR",489,33,39.75069957,-104.9979256,2017,105,56.6,109,101171,1080135,560,2466,16377,436,55.9,1810,810,661,0,5.75,0,0,0,34.947,193.054942528736,135.850560656813,93.8284518828452
"Palmer School Community Garden","PAL",649,20,39.73170041,-104.9249383,2001,138,57.6,28,372190,877747,28,380,6636.7,107,46,615,309,236,0,129.1329,0,0,0,131.517,87.32,62.2553442458632,27.4999999999999
"Park Hill School Garden","PAR",738,16,39.74455504,-104.9288718,1995,243,71.8,17,1016686,1075368,13,186,5919.5,126,42.2,428,286,198,1.3,17.4225,4.8,0,11.47,225.194,105.38125,74.7356686778644,31.3333333333333
"Ruby Hill Park Community Garden","RUB",858,56,39.68543288,-105.0059947,2012,62,40.4,108,166829,536585,17,123,3371.2,216,85.5,153,148,101,0.765,40.67,2.38,0,0,231.329,114.75,86.7513652962033,57.0967741935483
"Sabin School Garden","SAB",887,27,39.6597862,-105.0462203,2017,135,64.1,21,610527,568824,28,92,6309.5,68,82.3,478,333,171,0,488.9025,0,0,0,93.095,164.766964285714,99.5485301379031,60.7024952015355
"Samuels School Community Garden","SAM",1642,55,39.6434894,-104.8925304,2012,157,57.1,75,619500,642653,1,112,4828.8,108,62,351,233,148,15.815,135.9875,0.51,0,0,330.368,52.1245421245421,47.8681330040866,33.6818181818182
"Shoshone Community Garden","SHO",415,12,39.76300286,-105.0094429,1984,108,64,44,159716,944721,265,1580,13937.8,272,52,1936,673,581,0,145.15,0,2,0,51.768,165.093953488372,109.062615736022,68.6397515527952
"Slater Elementary School Community Garden","SLA",635,26,39.75227273,-105.0928071,2019,110,69.5,37,343016,685651,20,125,3728.2,105,50.9,237,187,110,0,0,0,0,0,157.872,114.214375,66.1729404918529,30.2845528455284
"Steck School Community Garden","STE",465,17,39.72417131,-104.9382635,1995,272,79.7,18,1360327,1355191,67,208,6369,138,39.7,656,305,223,0.54,194.425,0.385,0,0,135.039,107.55,73.2990145836866,37.6578947368422
"West Colfax Community Urban Garden","WES",1108,38,39.73521415,-105.0458772,2012,82,45,101,140311,693234,162,643,11035.9,161,83.6,751,465,362,9.5975,0,1.1475,0,104.04,212.637,147.458333333333,75.8348508511925,33.7225130890052
