"Site","site_code","Area_m2","Plots","Lat","Long","estYear","WealthIndex","SocioIndex","PovertyIndex","MedNetWorth","MedHomeVal","VacantHU","RenterHU","PopDen","CrimeIndex","DiversityIndex","BA_Degree","GardenKnowledge","EnvConscious","CWD_m2","wood_m2","FWD_m2","logs","bareground_m2","floral_area_m2","gbif.rich","gbif.shannon","gbif.simpson","tcc_200m","imp_200m","tcc_500m","imp_500m","tcc_1000m","imp_1000m","dev_high_200m","dev_low_200m","dev_high_500m","dev_low_500m","wetland_500m","water_500m","dev_high_1000m","dev_low_1000m","water_1000m","wetland_1000m","shrub_grass_1000m"
"Applewood Community Garden","APP",627,28,39.76071279,-105.1446095,2007,240,73.6,10,931938,889706,23,101,2227.7,105,37.9,233,126,71,0,137.4375,0,0,2.66,173,113.773960216998,74.8696488085985,46.6818181818183,10.1811594202899,47.8188405797101,10.2355658198614,51.743648960739,12.4965457685665,44.0834772596431,0.41304347826087,0.58695652173913,0.521939953810624,0.476905311778291,0.00115473441108545,0,0.3664363845711,0.58923431203224,0.0400115141047784,0.00431778929188256,0
"Charles Hay Community Garden","CHA",459,25,39.65845813,-104.9720575,2011,99,55.4,60,148202,665720,64,544,6944.1,151,51,639,342,239,10.715,36.145,0,0,0,154.942,86.8508771929825,93.7230817054042,117.166666666667,12.7071428571429,43.0928571428571,15.2661290322581,45.2534562211982,15.4670693126258,44.9902214552775,0.25,0.75,0.294930875576037,0.705069124423963,0,0,0.309462180040265,0.690537819959735,0,0,0
"Cook Park Community Garden","COO",1364,48,39.6858968,-104.9202609,2021,172,65.5,40,717011,684290,11,115,5489.8,95,52.9,627,280,174,8,198.105,0,3,6.7875,418.896,130.388305322129,109.091060244464,79.2461538461538,11.7357142857143,43.8857142857143,13.3302646720368,45.590333716916,12.2594936708861,46.9542577675489,0.292857142857143,0.707142857142857,0.360184119677791,0.63981588032221,0,0,0.357019562715765,0.642980437284235,0,0,0
"Edison School Community Garden","EDI",523,21,39.76548756,-105.0395583,2009,132,73.4,23,400872,852482,51,467,8735.5,183,48.2,897,422,337,1.875,114.04,0,0,0,171.295,118.727699530516,111.821469239593,75.3030303030302,14.6,44.45,16.2528735632184,48.3459770114943,15.0135057471264,49.6456896551724,0.25,0.75,0.390804597701149,0.609195402298851,0,0,0.427011494252874,0.572988505747126,0,0,0
"Eiber School Community Garden","EIB",579,24,39.7370155,-105.1062374,2013,109,57.6,49,331736,919811,35,149,3543.1,400,67.1,285,177,105,1.1375,119.26,4.38,0,0,149.111,81.1794871794872,67.3736760134394,47.6666666666665,13.5179856115108,43.5323741007194,14.1660899653979,49.2572087658593,14.0494679321254,48.324129997124,0.352517985611511,0.647482014388489,0.391003460207612,0.608996539792388,0,0,0.370146678170837,0.629853321829163,0,0,0
"Gables School and Community Garden","GABL",734,32,39.67926421,-105.0937713,2017,171,61.2,31,761650,656250,7,56,5341.1,91,55.4,388,317,178,0,119.02,0.34,1,0,154.531,130.684210526316,115.007210693561,57,12.7697841726619,43.410071942446,14.9114942528736,45.6172413793103,14.85,47.2876436781609,0.359712230215827,0.640287769784173,0.349425287356322,0.648275862068965,0,0.00229885057471264,0.389942528735632,0.60948275862069,0.000574712643678161,0,0
"Gabriel Cam Memorial Community Garden","GABR",738,30,39.72381522,-104.8309439,2017,64,49.4,106,58150,531690,86,674,10163.3,171,88.7,398,430,278,2.565,22.8,0,3,0,81.218,61.4166666666667,33.9116381845013,17.2297297297297,9.16058394160584,45.6131386861314,9.729792147806,51.5588914549654,7.77330264672037,50.5371116225547,0.299270072992701,0.700729927007299,0.486143187066975,0.513856812933025,0,0,0.495684695051784,0.503164556962025,0,0.000863060989643268,0.000287686996547756
"Greenway Community Garden","GRE",776,35,39.75074088,-104.8969895,2008,144,67.2,41,342481,785000,66,527,9690.7,214,68.6,640,409,302,2.0575,0.65,0,0,0,179.891,137.913580246914,62.400309814094,25.7142857142857,7.58695652173913,57.0289855072464,7.9816091954023,49.0344827586207,8.83635317802704,50.120218579235,0.608695652173913,0.391304347826087,0.539080459770115,0.460919540229885,0,0,0.494966925510498,0.505033074489502,0,0,0
"GW School and Community Garden","GW",474,13,39.70479323,-104.9149051,2016,157,55.7,82,564915,695000,17,133,4680.1,104,64.5,379,216,167,0,37.44,0,1,12.2075,123.114,81.6194029850746,61.3279311434442,38.1206896551725,3.46428571428571,53.0357142857143,7.11967779056387,52.3452243958573,9.61702127659574,51.3289246693502,0.635714285714286,0.364285714285714,0.567318757192175,0.432681242807825,0,0,0.502300172512938,0.497699827487062,0,0,0
"Jefferson Green Community Garden","JEF",1104,28,39.65720004,-105.0984888,2019,66,56.2,41,153239,407595,56,466,8603.3,132,65.5,474,369,255,0,175.9325,0,3,5.39,226.324,172.531914893617,99.4379747817817,58.4023668639054,13.8978102189781,45.5109489051095,12.2667436489607,47.1916859122402,10.0506474820144,37.3680575539568,0.394160583941606,0.605839416058394,0.441108545034642,0.558891454965358,0,0,0.356258992805755,0.50589928057554,0.000863309352517986,0.0989928057553957,0.0379856115107914
"KCAA Community Studio Garden","KCA",332,18,39.67568994,-105.038795,2015,106,56.5,75,328750,589713,11,127,5846.8,84,83.9,340,308,157,2.11,80.945,0,0,4.395,52.937,122.333333333333,101.104036072715,70,12.15,46.25,14.032183908046,41.2873563218391,14.710632183908,41.9807471264368,0.428571428571429,0.571428571428571,0.252873563218391,0.716091954022989,0.00229885057471264,0.028735632183908,0.23735632183908,0.736206896551724,0.0241379310344828,0.00229885057471264,0
"Market Station Community Garden","MAR",489,33,39.75069957,-104.9979256,2017,105,56.6,109,101171,1080135,560,2466,16377,436,55.9,1810,810,661,0,5.75,0,0,0,34.947,193.054942528736,135.850560656813,93.8284518828452,0.294964028776978,85.158273381295,0.570114942528736,82.1057471264368,1.20735209649627,77.1720275703619,1,0,1,0,0,0,0.95807007466973,0.04192992533027,0,0,0
"Palmer School Community Garden","PAL",649,20,39.73170041,-104.9249383,2001,138,57.6,28,372190,877747,28,380,6636.7,107,46,615,309,236,0,129.1329,0,0,0,131.517,87.32,62.2553442458632,27.4999999999999,14.6214285714286,43.3071428571429,14.2218390804598,45.035632183908,14.6776883266245,45.1664749856239,0.228571428571429,0.771428571428571,0.280459770114943,0.719540229885058,0,0,0.275733179988499,0.724266820011501,0,0,0
"Park Hill School Garden","PAR",738,16,39.74455504,-104.9288718,1995,243,71.8,17,1016686,1075368,13,186,5919.5,126,42.2,428,286,198,1.3,17.4225,4.8,0,11.47,225.194,105.38125,74.7356686778644,31.3333333333333,22.0575539568345,37.7553956834532,17.7249712313003,39.8285385500575,15.9432276657061,41.6155619596542,0.172661870503597,0.827338129496403,0.177215189873418,0.822784810126582,0,0,0.176657060518732,0.823342939481268,0,0,0
"Ruby Hill Park Community Garden","RUB",858,56,39.68543288,-105.0059947,2012,62,40.4,108,166829,536585,17,123,3371.2,216,85.5,153,148,101,0.765,40.67,2.38,0,0,231.329,114.75,86.7513652962033,57.0967741935483,6.84057971014493,26.9710144927536,10.2232451093211,33.7318757192175,8.28887611382581,42.1463064098879,0.108695652173913,0.891304347826087,0.197928653624856,0.802071346375144,0,0,0.368209255533199,0.629491233112964,0.00229951135383731,0,0
"Sabin School Garden","SAB",887,27,39.6597862,-105.0462203,2017,135,64.1,21,610527,568824,28,92,6309.5,68,82.3,478,333,171,0,488.9025,0,0,0,93.095,164.766964285714,99.5485301379031,60.7024952015355,11.3021582733813,43.589928057554,14.7436781609195,45.3264367816092,14.7429557216791,45.3809660724554,0.366906474820144,0.633093525179856,0.335632183908046,0.664367816091954,0,0,0.360839562967223,0.609545715928695,0.000575043128234618,0.0221391604370328,0.00690051753881541
"Samuels School Community Garden","SAM",1642,55,39.6434894,-104.8925304,2012,157,57.1,75,619500,642653,1,112,4828.8,108,62,351,233,148,15.815,135.9875,0.51,0,0,330.368,52.1245421245421,47.8681330040866,33.6818181818182,12.5467625899281,42.6618705035971,16.223623853211,38.5045871559633,14.0546133946536,47.9534348950848,0.287769784172662,0.712230215827338,0.201834862385321,0.798165137614679,0,0,0.433457890198333,0.566542109801667,0,0,0
"Shoshone Community Garden","SHO",415,12,39.76300286,-105.0094429,1984,108,64,44,159716,944721,265,1580,13937.8,272,52,1936,673,581,0,145.15,0,2,0,51.768,165.093953488372,109.062615736022,68.6397515527952,8.43478260869565,60.9927536231884,9.58016147635525,59.6689734717416,9.06931262582686,59.3934426229508,0.811594202898551,0.188405797101449,0.809688581314879,0.190311418685121,0,0,0.762438884095485,0.237561115904515,0,0,0
"Slater Elementary School Community Garden","SLA",635,26,39.75227273,-105.0928071,2019,110,69.5,37,343016,685651,20,125,3728.2,105,50.9,237,187,110,0,0,0,0,0,157.872,114.214375,66.1729404918529,30.2845528455284,11.2173913043478,42.6739130434783,13.6359447004608,35.3306451612903,11.7005178365938,30.4582853855006,0.202898550724638,0.797101449275362,0.0668202764976959,0.933179723502304,0,0,0.0661680092059839,0.850690448791715,0.0299194476409666,0.00805523590333717,0.0451668584579977
"Steck School Community Garden","STE",465,17,39.72417131,-104.9382635,1995,272,79.7,18,1360327,1355191,67,208,6369,138,39.7,656,305,223,0.54,194.425,0.385,0,0,135.039,107.55,73.2990145836866,37.6578947368422,23.2391304347826,33.9710144927536,20.8471264367816,40.2942528735632,16.373920552677,47.6188831318365,0.0942028985507246,0.905797101449275,0.224137931034483,0.775862068965517,0,0,0.394070236039148,0.605929763960852,0,0,0
"West Colfax Community Urban Garden","WES",1108,38,39.73521415,-105.0458772,2012,82,45,101,140311,693234,162,643,11035.9,161,83.6,751,465,362,9.5975,0,1.1475,0,104.04,212.637,147.458333333333,75.8348508511925,33.7225130890052,11.4306569343066,41.7153284671533,12.3734104046243,45.4867052023121,11.7207829591249,51.0054691997697,0.248175182481752,0.751824817518248,0.363005780346821,0.636994219653179,0,0,0.501151410477835,0.498848589522165,0,0,0
