"","Detritivore","Herbivore","Omnivore","Parasitoid","Pollinator","Predator","Predator/Scavenger","Fungivore","Sanguivore","Scavenger","Kleptoparasite","Aquatic Scavenger","Parasite","Granivore"
"APP_August",6,7,4,1,64,5,0,0,0,0,0,0,0,0
"APP_July",43,376,41,1,47,50,1,0,0,0,0,0,0,0
"APP_June",47,9,8,0,0,4,2,0,0,0,0,0,0,0
"CHA_August",5,7,6,1,86,9,1,0,0,0,0,0,0,0
"CHA_July",1,135,2,1,94,14,0,1,2,0,0,0,0,0
"CHA_June",27,28,12,1,7,6,0,0,4,0,0,0,0,0
"COO_August",14,13,8,0,55,24,2,0,0,0,0,0,0,0
"COO_July",21,65,4,2,37,16,1,1,0,1,0,0,0,0
"COO_June",18,93,6,2,1,16,0,0,0,0,0,0,0,0
"EDI_August",1,5,1,1,0,2,0,0,0,0,0,0,0,0
"EDI_July",8,74,10,2,78,25,0,0,0,0,1,0,0,0
"EDI_June",2,12,17,0,17,8,0,0,0,0,0,0,0,0
"EIB_August",16,16,21,1,24,17,1,1,0,0,0,0,0,0
"EIB_July",1,137,3,0,12,40,2,0,0,0,0,0,0,0
"EIB_June",9,5,16,0,6,11,0,0,0,0,0,0,0,0
"GABL_August",5,6,0,0,15,2,0,0,0,0,0,0,0,0
"GABL_July",1,53,13,0,52,8,2,0,1,0,0,0,0,0
"GABL_June",0,23,4,0,10,3,2,0,0,0,0,0,0,0
"GABR_August",13,7,4,0,12,6,0,0,0,0,0,0,0,0
"GABR_July",3,65,11,0,21,48,0,0,0,0,0,0,0,0
"GABR_June",24,16,5,0,3,5,1,0,3,0,0,0,0,0
"GRE_August",6,8,0,1,22,4,0,0,1,0,0,0,0,0
"GRE_July",4,98,1,2,30,15,0,0,0,0,0,0,0,0
"GRE_June",14,15,1,0,3,13,1,0,0,0,0,0,0,0
"GW_August",9,10,11,1,6,9,1,0,0,0,0,0,0,0
"GW_July",2,25,0,0,22,7,1,0,1,0,0,0,0,0
"GW_June",11,14,10,1,4,4,3,0,0,0,0,0,0,0
"JEF_August",5,13,1,0,18,4,0,0,0,0,0,1,0,0
"JEF_July",3,74,13,0,23,21,0,0,0,0,0,0,0,0
"JEF_June",1,6,4,0,2,4,2,0,0,0,0,0,0,0
"KCA_August",6,15,4,0,12,7,0,0,0,0,0,0,0,0
"KCA_July",5,16,11,0,12,8,0,0,0,1,0,0,0,0
"KCA_June",0,14,2,0,6,4,2,0,0,0,0,0,0,0
"MAR_August",1,1,6,1,0,1,0,0,0,0,0,0,0,0
"MAR_July",0,9,1,0,1,3,0,0,0,0,0,0,0,0
"MAR_June",0,6,0,0,2,1,0,0,0,0,0,0,0,0
"PAL_August",5,3,3,0,78,13,0,2,0,0,0,0,0,0
"PAL_July",7,31,2,0,108,14,0,0,3,0,2,0,0,0
"PAL_June",13,5,8,0,8,5,1,0,5,0,0,0,0,0
"PAR_August",9,14,9,0,47,10,0,0,0,0,0,0,0,0
"PAR_July",1,284,11,1,55,32,0,1,0,1,0,0,0,0
"PAR_June",4,15,11,0,3,6,0,0,0,0,0,0,0,0
"RUB_August",29,17,3,1,70,17,2,1,0,0,0,0,0,0
"RUB_July",8,350,9,7,72,64,4,0,2,0,2,0,0,0
"RUB_June",12,37,7,3,4,6,6,0,1,0,0,0,0,0
"SAB_August",6,1,18,1,16,12,0,1,0,0,0,1,0,0
"SAB_July",1,11,9,2,38,52,0,0,2,0,0,0,0,0
"SAB_June",4,4,31,1,0,0,1,0,0,0,0,0,0,0
"SAM_August",15,14,1,1,48,18,0,0,1,0,0,0,1,0
"SAM_July",6,107,7,0,16,22,0,2,0,0,0,0,0,0
"SAM_June",25,18,4,0,17,4,2,0,0,0,0,0,0,0
"SHO_August",4,5,1,0,14,14,0,1,0,0,0,0,0,0
"SHO_July",4,0,2,0,33,5,0,0,0,0,0,0,0,0
"SHO_June",0,1,0,0,2,0,0,0,0,0,0,0,0,0
"SLA_August",4,12,11,0,11,5,2,0,1,0,0,0,0,0
"SLA_July",3,69,8,0,31,7,4,0,2,1,0,0,0,0
"SLA_June",8,14,1,1,8,10,1,0,3,0,0,0,0,0
"STE_August",6,6,27,2,16,10,0,0,0,0,0,0,0,0
"STE_July",2,60,13,0,44,21,0,0,0,0,0,0,0,0
"STE_June",6,10,18,0,4,8,0,0,0,0,0,0,0,0
"WES_August",7,17,16,3,21,8,0,0,1,0,0,0,1,0
"WES_July",28,72,7,0,22,32,2,0,1,0,0,0,0,1
"WES_June",2,39,1,0,6,3,0,0,0,0,0,0,0,0
