"","Detritivore","Herbivore","Omnivore","Parasitoid","Pollinator","Predator","Predator/Scavenger","Fungivore","Sanguivore","Scavenger","Kleptoparasite","Aquatic Scavenger","Parasite","Granivore"
"APP",96,392,53,2,111,59,3,0,0,0,0,0,0,0
"CHA",33,170,20,3,187,29,1,1,6,0,0,0,0,0
"COO",53,171,18,4,93,56,3,1,0,1,0,0,0,0
"EDI",11,91,28,3,95,35,0,0,0,0,1,0,0,0
"EIB",26,158,40,1,42,68,3,1,0,0,0,0,0,0
"GABL",6,82,17,0,77,13,4,0,1,0,0,0,0,0
"GABR",40,88,20,0,36,59,1,0,3,0,0,0,0,0
"GRE",24,121,2,3,55,32,1,0,1,0,0,0,0,0
"GW",22,49,21,2,32,20,5,0,1,0,0,0,0,0
"JEF",9,93,18,0,43,29,2,0,0,0,0,1,0,0
"KCA",11,45,17,0,30,19,2,0,0,1,0,0,0,0
"MAR",1,16,7,1,3,5,0,0,0,0,0,0,0,0
"PAL",25,39,13,0,194,32,1,2,8,0,2,0,0,0
"PAR",14,313,31,1,105,48,0,1,0,1,0,0,0,0
"RUB",49,404,19,11,146,87,12,1,3,0,2,0,0,0
"SAB",11,16,58,4,54,64,1,1,2,0,0,1,0,0
"SAM",46,139,12,1,81,44,2,2,1,0,0,0,1,0
"SHO",8,6,3,0,49,19,0,1,0,0,0,0,0,0
"SLA",15,95,20,1,50,22,7,0,6,1,0,0,0,0
"STE",14,76,58,2,64,39,0,0,0,0,0,0,0,0
"WES",37,128,24,3,49,43,2,0,2,0,0,0,1,1
