"","spec_ID","site_code","month","spec.obs"
"1","Agapostemon angelicus/texanus","CHA","June",1
"2","Agapostemon angelicus/texanus","EDI","June",1
"3","Agapostemon angelicus/texanus","GABL","June",1
"4","Agapostemon angelicus/texanus","GABR","August",1
"5","Agapostemon angelicus/texanus","GRE","July",1
"6","Agapostemon angelicus/texanus","GW","June",1
"7","Agapostemon angelicus/texanus","KCA","August",1
"8","Agapostemon angelicus/texanus","KCA","July",1
"9","Agapostemon angelicus/texanus","PAL","August",1
"10","Agapostemon angelicus/texanus","PAL","July",1
"11","Agapostemon angelicus/texanus","SAM","August",1
"12","Agapostemon femoratus","CHA","July",1
"13","Agapostemon femoratus","EDI","July",1
"14","Agapostemon femoratus","EIB","June",1
"15","Agapostemon femoratus","GW","July",2
"16","Agapostemon femoratus","PAL","August",1
"17","Agapostemon femoratus","RUB","August",1
"18","Agapostemon femoratus","SAB","August",1
"19","Agapostemon virescens","CHA","July",2
"20","Agapostemon virescens","CHA","June",3
"21","Agapostemon virescens","COO","June",1
"22","Agapostemon virescens","EDI","July",1
"23","Agapostemon virescens","GRE","July",1
"24","Agapostemon virescens","GW","August",2
"25","Agapostemon virescens","GW","July",2
"26","Agapostemon virescens","GW","June",1
"27","Agapostemon virescens","KCA","June",1
"28","Agapostemon virescens","PAL","August",2
"29","Agapostemon virescens","PAL","July",1
"30","Agapostemon virescens","RUB","June",1
"31","Agapostemon virescens","SAB","August",1
"32","Agapostemon virescens","SAM","June",1
"33","Agapostemon virescens","STE","June",1
"34","Agapostemon virescens","WES","June",1
"35","Anthophora montana","GABR","June",1
"36","Apis mellifera","APP","August",9
"37","Apis mellifera","APP","July",3
"38","Apis mellifera","EIB","July",1
"39","Apis mellifera","GABL","August",1
"40","Apis mellifera","GABL","July",3
"41","Apis mellifera","GW","August",1
"42","Apis mellifera","PAL","July",1
"43","Apis mellifera","PAR","August",1
"44","Apis mellifera","PAR","July",5
"45","Apis mellifera","PAR","June",1
"46","Apis mellifera","SAB","July",1
"47","Apis mellifera","SAM","August",2
"48","Apis mellifera","SAM","July",2
"49","Apis mellifera","SLA","August",1
"50","Apis mellifera","WES","August",1
"51","Augochlorella aurata","PAL","July",1
"52","Augochlorella aurata","SAM","July",2
"53","Augochlorella aurata","SLA","June",1
"54","Augochlorella aurata","WES","July",4
