"","spec_ID","site_code","spec.obs"
"1","Agapostemon angelicus/texanus","CHA",1
"2","Agapostemon angelicus/texanus","EDI",1
"3","Agapostemon angelicus/texanus","GABL",1
"4","Agapostemon angelicus/texanus","GABR",1
"5","Agapostemon angelicus/texanus","GRE",1
"6","Agapostemon angelicus/texanus","GW",1
"7","Agapostemon angelicus/texanus","KCA",2
"8","Agapostemon angelicus/texanus","PAL",2
"9","Agapostemon angelicus/texanus","SAM",1
"10","Agapostemon femoratus","CHA",1
"11","Agapostemon femoratus","EDI",1
"12","Agapostemon femoratus","EIB",1
"13","Agapostemon femoratus","GW",2
"14","Agapostemon femoratus","PAL",1
"15","Agapostemon femoratus","RUB",1
"16","Agapostemon femoratus","SAB",1
"17","Agapostemon virescens","CHA",5
"18","Agapostemon virescens","COO",1
"19","Agapostemon virescens","EDI",1
"20","Agapostemon virescens","GRE",1
"21","Agapostemon virescens","GW",5
"22","Agapostemon virescens","KCA",1
"23","Agapostemon virescens","PAL",3
"24","Agapostemon virescens","RUB",1
"25","Agapostemon virescens","SAB",1
"26","Agapostemon virescens","SAM",1
"27","Agapostemon virescens","STE",1
"28","Agapostemon virescens","WES",1
"29","Anthophora montana","GABR",1
"30","Apis mellifera","APP",12
"31","Apis mellifera","EIB",1
"32","Apis mellifera","GABL",4
"33","Apis mellifera","GW",1
"34","Apis mellifera","PAL",1
"35","Apis mellifera","PAR",7
"36","Apis mellifera","SAB",1
"37","Apis mellifera","SAM",4
"38","Apis mellifera","SLA",1
"39","Apis mellifera","WES",1
"40","Augochlorella aurata","PAL",1
"41","Augochlorella aurata","SAM",2
"42","Augochlorella aurata","SLA",1
"43","Augochlorella aurata","WES",4
"44","Bombus bifarius","COO",1
"45","Bombus bifarius","SAB",2
"46","Bombus fervidus","APP",2
"47","Bombus fervidus","CHA",2
"48","Bombus fervidus","COO",1
"49","Bombus fervidus","EDI",1
"50","Bombus fervidus","EIB",1
"51","Bombus fervidus","GRE",1
"52","Bombus fervidus","GW",1
"53","Bombus fervidus","JEF",1
"54","Bombus fervidus","PAL",1
"55","Bombus fervidus","PAR",1
"56","Bombus fervidus","RUB",1
"57","Bombus fervidus","SAB",1
"58","Bombus fervidus","SAM",3
"59","Bombus fervidus","SHO",1
"60","Bombus fervidus","SLA",2
"61","Bombus fervidus","STE",1
"62","Bombus fervidus","WES",5
"63","Bombus huntii","APP",1
"64","Bombus huntii","CHA",3
"65","Bombus huntii","EIB",1
"66","Bombus huntii","GRE",1
"67","Bombus huntii","PAL",1
"68","Bombus huntii","PAR",1
"69","Bombus huntii","RUB",2
"70","Bombus huntii","SAB",1
"71","Bombus huntii","STE",1
"72","Bombus nevadensis","RUB",1
"73","Bombus pensylvanicus","JEF",1
"74","Brachymelecta interrupta","EDI",1
"75","Ceratina spp.","RUB",1
"76","Diadasia australis","CHA",1
"77","Diadasia australis","EDI",1
"78","Diadasia australis","PAL",1
"79","Diadasia australis","SLA",1
"80","Diadasia enavata","COO",1
"81","Diadasia enavata","GABL",1
"82","Diadasia enavata","SAM",1
"83","Diadasia rinconis","GRE",1
"84","Diadasia rinconis","SLA",1
"85","Eucera pruinosa","APP",49
"86","Eucera pruinosa","CHA",29
"87","Eucera pruinosa","COO",30
"88","Eucera pruinosa","EDI",17
"89","Eucera pruinosa","EIB",5
"90","Eucera pruinosa","GABL",26
"91","Eucera pruinosa","GABR",7
"92","Eucera pruinosa","GRE",18
"93","Eucera pruinosa","GW",3
"94","Eucera pruinosa","JEF",11
"95","Eucera pruinosa","KCA",7
"96","Eucera pruinosa","PAL",65
"97","Eucera pruinosa","PAR",22
"98","Eucera pruinosa","RUB",52
"99","Eucera pruinosa","SAB",35
"100","Eucera pruinosa","SAM",17
"101","Eucera pruinosa","SHO",18
"102","Eucera pruinosa","SLA",9
"103","Eucera pruinosa","STE",31
"104","Eucera pruinosa","WES",9
"105","Halictus confusus","RUB",1
"106","Halictus farinosus","CHA",1
"107","Halictus ligatus","GABL",1
"108","Halictus ligatus","GABR",1
"109","Halictus ligatus","JEF",1
"110","Halictus ligatus","PAR",1
"111","Halictus ligatus","RUB",2
"112","Halictus ligatus","SAM",1
"113","Halictus ligatus","SLA",1
"114","Halictus ligatus","WES",2
"115","Halictus rubicundus","APP",2
"116","Halictus rubicundus","CHA",11
"117","Halictus rubicundus","COO",2
"118","Halictus rubicundus","EDI",5
"119","Halictus rubicundus","EIB",3
"120","Halictus rubicundus","GABL",12
"121","Halictus rubicundus","GABR",3
"122","Halictus rubicundus","GRE",3
"123","Halictus rubicundus","JEF",4
"124","Halictus rubicundus","KCA",3
"125","Halictus rubicundus","MAR",1
"126","Halictus rubicundus","PAL",33
"127","Halictus rubicundus","RUB",4
"128","Halictus rubicundus","SAB",2
"129","Halictus rubicundus","SAM",7
"130","Halictus rubicundus","SHO",2
"131","Halictus rubicundus","SLA",5
"132","Halictus rubicundus","STE",1
"133","Halictus rubicundus","WES",2
"134","Halictus spp.","SLA",1
"135","Halictus tripartitus","APP",7
"136","Halictus tripartitus","EIB",1
"137","Halictus tripartitus","GABL",4
