"site_month","Aquatic Scavenger","Detritivore","Fungivore","Granivore","Herbivore","Omnivore","Parasite","Parasitoid","Pollenivore","Pollinator","Predator","Predator/Scavenger","Sanguivore","Scavenger","Unknown"
"JEF_August",1,5,0,0,13,1,0,0,0,18,4,0,0,0,4
"SAB_August",1,6,1,0,1,18,0,1,0,16,12,0,0,0,8
"APP_August",0,6,0,0,7,4,0,1,0,64,5,0,0,0,11
"APP_July",0,43,0,0,376,41,0,1,0,47,50,1,0,0,12
"APP_June",0,47,0,0,9,8,0,0,0,0,4,2,0,0,10
"CHA_August",0,5,0,0,7,6,0,1,0,86,9,1,0,0,4
"CHA_July",0,1,1,0,135,2,0,1,0,94,14,0,2,0,9
"CHA_June",0,27,0,0,28,12,0,1,0,7,6,0,4,0,21
"COO_August",0,14,0,0,13,8,0,0,0,55,24,2,0,0,34
"COO_July",0,21,1,0,65,4,0,2,0,37,16,1,0,1,11
"COO_June",0,18,0,0,93,6,0,2,0,1,16,0,0,0,6
"EDI_August",0,1,0,0,5,1,0,1,0,0,2,0,0,0,9
"EDI_July",0,8,0,0,74,10,0,2,0,79,25,0,0,0,3
"EDI_June",0,2,0,0,12,17,0,0,0,17,8,0,0,0,6
"EIB_August",0,16,1,0,16,21,0,1,0,24,17,1,0,0,1
"EIB_July",0,1,0,0,137,3,0,0,0,12,40,2,0,0,22
"EIB_June",0,9,0,0,5,16,0,0,0,6,11,0,0,0,10
"GABL_August",0,5,0,0,6,0,0,0,0,15,2,0,0,0,5
"GABL_July",0,1,0,0,53,13,0,0,0,52,8,2,1,0,13
"GABR_August",0,13,0,0,7,4,0,0,0,12,6,0,0,0,9
"GABR_July",0,3,0,0,65,11,0,0,0,21,48,0,0,0,36
"GABR_June",0,24,0,0,16,5,0,0,0,3,5,1,3,0,10
"GRE_August",0,6,0,0,8,0,0,1,0,22,4,0,1,0,15
"GRE_July",0,4,0,0,98,1,0,2,0,30,15,0,0,0,6
"GRE_June",0,14,0,0,15,1,0,0,0,3,13,1,0,0,13
"GW_August",0,9,0,0,10,11,0,1,0,6,9,1,0,0,9
"GW_July",0,2,0,0,25,0,0,0,0,22,7,1,1,0,3
"GW_June",0,11,0,0,14,10,0,1,0,4,4,3,0,0,9
"JEF_July",0,3,0,0,74,13,0,0,0,23,21,0,0,0,17
"JEF_June",0,1,0,0,6,4,0,0,0,2,4,2,0,0,18
"KCA_August",0,6,0,0,15,4,0,0,0,12,7,0,0,0,1
"KCA_July",0,5,0,0,16,11,0,0,0,12,8,0,0,1,8
"MAR_August",0,1,0,0,1,6,0,1,0,0,1,0,0,0,1
"PAL_August",0,5,2,0,3,3,0,0,0,78,13,0,0,0,9
"PAL_July",0,7,0,0,31,2,0,0,0,110,14,0,3,0,16
"PAL_June",0,13,0,0,5,8,0,0,0,8,5,1,5,0,13
"PAR_August",0,9,0,0,14,9,0,0,0,47,10,0,0,0,77
"PAR_July",0,1,1,0,282,11,0,1,1,55,32,0,0,1,15
"PAR_June",0,4,0,0,15,11,0,0,0,3,6,0,0,0,13
"RUB_August",0,29,1,0,17,3,0,1,0,70,17,2,0,0,24
"RUB_July",0,8,0,0,350,9,0,7,0,74,64,4,2,0,13
"RUB_June",0,12,0,0,37,7,0,3,0,4,6,6,1,0,11
"SAB_July",0,1,0,0,11,9,0,2,0,38,52,0,2,0,3
"SAB_June",0,4,0,0,4,31,0,1,0,0,0,1,0,0,13
"SAM_August",0,15,0,0,14,1,1,1,0,48,18,0,1,0,7
"SAM_July",0,6,2,0,107,7,0,0,0,16,22,0,0,0,10
"SAM_June",0,25,0,0,18,4,0,0,0,16,4,2,0,0,4
"SHO_August",0,4,1,0,5,1,0,0,0,14,14,0,0,0,0
"SHO_July",0,4,0,0,0,2,0,0,0,33,5,0,0,0,7
"SLA_August",0,4,0,0,12,11,0,0,0,11,5,2,1,0,2
"SLA_July",0,3,0,0,69,8,0,0,0,31,7,4,2,1,9
"SLA_June",0,8,0,0,14,1,0,1,0,8,10,1,3,0,14
"STE_August",0,6,0,0,6,27,0,2,0,16,10,0,0,0,1
"STE_July",0,2,0,0,60,13,0,0,0,44,21,0,0,0,5
"STE_June",0,6,0,0,10,18,0,0,0,4,8,0,0,0,7
"WES_August",0,7,0,0,17,16,1,3,0,21,8,0,1,0,12
"WES_July",0,28,0,1,72,7,0,0,0,22,32,2,1,0,6
"WES_June",0,2,0,0,39,1,0,0,0,6,3,0,0,0,21
"GABL_June",0,0,0,0,23,4,0,0,0,10,3,2,0,0,10
"KCA_June",0,0,0,0,14,2,0,0,0,6,4,2,0,0,10
"MAR_July",0,0,0,0,9,1,0,0,0,1,3,0,0,0,3
"MAR_June",0,0,0,0,6,0,0,0,0,2,1,0,0,0,2
"SHO_June",0,0,0,0,1,0,0,0,0,2,0,0,0,0,4
