"spec_ID","site_code","spec.obs"
"Agapostemon angelicus/texanus","CHA",1
"Agapostemon angelicus/texanus","EDI",1
"Agapostemon angelicus/texanus","GABL",1
"Agapostemon angelicus/texanus","GRE",1
"Agapostemon angelicus/texanus","GW",1
"Agapostemon angelicus/texanus","KCA",1
"Agapostemon angelicus/texanus","PAL",1
"Agapostemon femoratus","CHA",1
"Agapostemon femoratus","EDI",1
"Agapostemon femoratus","EIB",1
"Agapostemon femoratus","GW",2
"Agapostemon spp.","GW",2
"Agapostemon spp.","PAL",2
"Agapostemon spp.","SAB",2
"Agapostemon virescens","CHA",5
"Agapostemon virescens","COO",1
"Agapostemon virescens","EDI",1
"Agapostemon virescens","GRE",1
"Agapostemon virescens","GW",3
"Agapostemon virescens","KCA",1
"Agapostemon virescens","PAL",1
"Agapostemon virescens","RUB",1
"Agapostemon virescens","SAM",1
"Agapostemon virescens","STE",1
"Agapostemon virescens","WES",1
"Apis mellifera","APP",12
"Apis mellifera","EIB",1
"Apis mellifera","GABL",4
"Apis mellifera","GW",1
"Apis mellifera","PAL",1
"Apis mellifera","PAR",7
"Apis mellifera","SAB",1
"Apis mellifera","SAM",3
"Apis mellifera","SLA",1
"Apis mellifera","WES",1
"Augochlorella aurata","PAL",1
"Augochlorella aurata","SLA",1
"Augochlorella aurata","WES",4
"Bombus fervidus","EDI",1
"Bombus fervidus","EIB",1
"Bombus fervidus","GW",1
"Bombus fervidus","SAM",2
"Bombus fervidus","SHO",1
"Bombus fervidus","SLA",2
"Bombus fervidus","WES",2
"Bombus huntii","CHA",1
"Bombus huntii","GRE",1
"Bombus huntii","PAR",1
"Bombus huntii","STE",1
"Bombus spp.","APP",3
"Bombus spp.","CHA",4
"Bombus spp.","COO",2
"Bombus spp.","EIB",1
"Bombus spp.","GRE",1
"Bombus spp.","PAL",2
"Bombus spp.","PAR",1
"Bombus spp.","RUB",4
"Bombus spp.","SAB",4
"Bombus spp.","SAM",1
"Bombus spp.","STE",1
"Bombus spp.","WES",3
"Ceratina spp.","RUB",1
"Eucera pruinosa","APP",49
"Eucera pruinosa","CHA",29
"Eucera pruinosa","COO",30
"Eucera pruinosa","EDI",17
"Eucera pruinosa","EIB",5
"Eucera pruinosa","GABL",26
"Eucera pruinosa","GABR",7
"Eucera pruinosa","GRE",20
"Eucera pruinosa","GW",3
"Eucera pruinosa","JEF",11
"Eucera pruinosa","KCA",7
"Eucera pruinosa","PAL",67
"Eucera pruinosa","PAR",22
"Eucera pruinosa","RUB",52
"Eucera pruinosa","SAB",35
"Eucera pruinosa","SAM",17
"Eucera pruinosa","SHO",18
"Eucera pruinosa","SLA",9
"Eucera pruinosa","STE",31
"Eucera pruinosa","WES",9
"Halictus ligatus","GABR",1
"Halictus ligatus","RUB",2
"Halictus ligatus","SAM",1
"Halictus ligatus","SLA",1
"Halictus ligatus","WES",1
"Halictus rubicundus","APP",2
"Halictus rubicundus","CHA",11
"Halictus rubicundus","COO",1
"Halictus rubicundus","EDI",5
"Halictus rubicundus","EIB",3
"Halictus rubicundus","GABL",12
"Halictus rubicundus","GABR",3
"Halictus rubicundus","GRE",3
"Halictus rubicundus","JEF",4
"Halictus rubicundus","KCA",2
"Halictus rubicundus","MAR",1
"Halictus rubicundus","PAL",33
"Halictus rubicundus","RUB",3
"Halictus rubicundus","SAB",2
"Halictus rubicundus","SAM",6
"Halictus rubicundus","SHO",2
"Halictus rubicundus","SLA",5
"Halictus rubicundus","STE",1
"Halictus rubicundus","WES",2
"Halictus spp.","COO",1
"Halictus spp.","PAR",1
"Halictus spp.","SAM",2
"Lasioglossum spp.","MAR",1
"Megachile inermis","KCA",2
"Melissodes agilis","PAR",1
"Melissodes bimaculatus","APP",5
"Melissodes bimaculatus","CHA",10
"Melissodes bimaculatus","COO",1
"Melissodes bimaculatus","EDI",6
"Melissodes bimaculatus","EIB",2
"Melissodes bimaculatus","GABL",2
"Melissodes bimaculatus","GABR",6
"Melissodes bimaculatus","GRE",2
"Melissodes bimaculatus","GW",7
"Melissodes bimaculatus","KCA",3
"Melissodes bimaculatus","PAL",1
"Melissodes bimaculatus","PAR",3
"Melissodes bimaculatus","RUB",6
"Melissodes bimaculatus","SAB",1
"Melissodes bimaculatus","SAM",1
"Melissodes bimaculatus","SHO",5
"Melissodes bimaculatus","SLA",2
"Melissodes bimaculatus","WES",3
"Melissodes spp.","EDI",1
"NA spp.","APP",32
"NA spp.","CHA",120
"NA spp.","COO",56
"NA spp.","EDI",57
"NA spp.","EIB",23
"NA spp.","GABL",25
"NA spp.","GABR",17
"NA spp.","GRE",22
"NA spp.","GW",6
"NA spp.","JEF",26
"NA spp.","KCA",11
"NA spp.","PAL",78
"NA spp.","PAR",59
"NA spp.","RUB",72
"NA spp.","SAB",9
"NA spp.","SAM",37
"NA spp.","SHO",23
"NA spp.","SLA",20
"NA spp.","STE",27
"NA spp.","WES",20
"Perdita spp.","GABL",1
"Perdita spp.","GRE",1
"Svastra spp.","APP",1
