"spec_ID","site_code","month","spec.obs"
"Agapostemon angelicus/texanus","CHA","June",1
"Agapostemon angelicus/texanus","EDI","June",1
"Agapostemon angelicus/texanus","GABL","June",1
"Agapostemon angelicus/texanus","GABR","August",1
"Agapostemon angelicus/texanus","GRE","July",1
"Agapostemon angelicus/texanus","GW","June",1
"Agapostemon angelicus/texanus","KCA","August",1
"Agapostemon angelicus/texanus","KCA","July",1
"Agapostemon angelicus/texanus","PAL","August",1
"Agapostemon angelicus/texanus","PAL","July",1
"Agapostemon angelicus/texanus","SAM","August",1
"Agapostemon femoratus","CHA","July",1
"Agapostemon femoratus","EDI","July",1
"Agapostemon femoratus","EIB","June",1
"Agapostemon femoratus","GW","July",2
"Agapostemon femoratus","PAL","August",1
"Agapostemon femoratus","RUB","August",1
"Agapostemon femoratus","SAB","August",1
"Agapostemon virescens","CHA","July",2
"Agapostemon virescens","CHA","June",3
"Agapostemon virescens","COO","June",1
"Agapostemon virescens","EDI","July",1
"Agapostemon virescens","GRE","July",1
"Agapostemon virescens","GW","August",2
"Agapostemon virescens","GW","July",2
"Agapostemon virescens","GW","June",1
"Agapostemon virescens","KCA","June",1
"Agapostemon virescens","PAL","August",2
"Agapostemon virescens","PAL","July",1
"Agapostemon virescens","RUB","June",1
"Agapostemon virescens","SAB","August",1
"Agapostemon virescens","SAM","June",1
"Agapostemon virescens","STE","June",1
"Agapostemon virescens","WES","June",1
"Anthophora montana","GABR","June",1
"Apis mellifera","APP","August",9
"Apis mellifera","APP","July",3
"Apis mellifera","EIB","July",1
"Apis mellifera","GABL","August",1
"Apis mellifera","GABL","July",3
"Apis mellifera","GW","August",1
"Apis mellifera","PAL","July",1
"Apis mellifera","PAR","August",1
"Apis mellifera","PAR","July",5
"Apis mellifera","PAR","June",1
"Apis mellifera","SAB","July",1
"Apis mellifera","SAM","August",2
"Apis mellifera","SAM","July",2
"Apis mellifera","SLA","August",1
"Apis mellifera","WES","August",1
"Augochlorella aurata","PAL","July",1
"Augochlorella aurata","SAM","July",2
"Augochlorella aurata","SLA","June",1
"Augochlorella aurata","WES","July",4
"Bombus bifarius","COO","July",1
"Bombus bifarius","SAB","July",2
"Bombus fervidus","APP","August",1
"Bombus fervidus","APP","July",1
"Bombus fervidus","CHA","August",1
