"spec_ID","site_code","spec.obs"
"Agapostemon angelicus/texanus","CHA",1
"Agapostemon angelicus/texanus","EDI",1
"Agapostemon angelicus/texanus","GABL",1
"Agapostemon angelicus/texanus","GABR",1
"Agapostemon angelicus/texanus","GRE",1
"Agapostemon angelicus/texanus","GW",1
"Agapostemon angelicus/texanus","KCA",2
"Agapostemon angelicus/texanus","PAL",2
"Agapostemon angelicus/texanus","SAM",1
"Agapostemon femoratus","CHA",1
"Agapostemon femoratus","EDI",1
"Agapostemon femoratus","EIB",1
"Agapostemon femoratus","GW",2
"Agapostemon femoratus","PAL",1
"Agapostemon femoratus","RUB",1
"Agapostemon femoratus","SAB",1
"Agapostemon virescens","CHA",5
"Agapostemon virescens","COO",1
"Agapostemon virescens","EDI",1
"Agapostemon virescens","GRE",1
"Agapostemon virescens","GW",5
"Agapostemon virescens","KCA",1
"Agapostemon virescens","PAL",3
"Agapostemon virescens","RUB",1
"Agapostemon virescens","SAB",1
"Agapostemon virescens","SAM",1
"Agapostemon virescens","STE",1
"Agapostemon virescens","WES",1
"Anthophora montana","GABR",1
"Apis mellifera","APP",12
"Apis mellifera","EIB",1
"Apis mellifera","GABL",4
"Apis mellifera","GW",1
"Apis mellifera","PAL",1
"Apis mellifera","PAR",7
"Apis mellifera","SAB",1
"Apis mellifera","SAM",4
"Apis mellifera","SLA",1
"Apis mellifera","WES",1
"Augochlorella aurata","PAL",1
"Augochlorella aurata","SAM",2
"Augochlorella aurata","SLA",1
"Augochlorella aurata","WES",4
"Bombus bifarius","COO",1
"Bombus bifarius","SAB",2
"Bombus fervidus","APP",2
"Bombus fervidus","CHA",2
"Bombus fervidus","COO",1
"Bombus fervidus","EDI",1
"Bombus fervidus","EIB",1
"Bombus fervidus","GRE",1
"Bombus fervidus","GW",1
"Bombus fervidus","JEF",1
"Bombus fervidus","PAL",1
"Bombus fervidus","PAR",1
"Bombus fervidus","RUB",1
"Bombus fervidus","SAB",1
"Bombus fervidus","SAM",3
"Bombus fervidus","SHO",1
"Bombus fervidus","SLA",2
"Bombus fervidus","STE",1
"Bombus fervidus","WES",5
"Bombus huntii","APP",1
"Bombus huntii","CHA",3
"Bombus huntii","EIB",1
"Bombus huntii","GRE",1
"Bombus huntii","PAL",1
"Bombus huntii","PAR",1
"Bombus huntii","RUB",2
"Bombus huntii","SAB",1
