"spec_ID","CHA_June","EDI_June","GABL_June","GRE_July","GW_June","KCA_July","PAL_July","CHA_July","EDI_July","EIB_June","GW_July","GW_August","PAL_August","SAB_August","COO_June","KCA_June","RUB_June","SAM_June","STE_June","WES_June","APP_August","APP_July","EIB_July","GABL_August","GABL_July","PAR_August","PAR_July","PAR_June","SAB_July","SAM_August","SAM_July","SLA_August","WES_August","SLA_June","WES_July","SHO_June","STE_July","CHA_August","COO_August","COO_July","GRE_August","RUB_August","RUB_July","EIB_August","GABR_August","GABR_July","JEF_August","KCA_August","SHO_August","SHO_July","SLA_July","STE_August","GABR_June","JEF_July","MAR_July","MAR_June"
"Agapostemon angelicus/texanus",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agapostemon femoratus",0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agapostemon spp.",0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agapostemon virescens",3,0,0,1,1,0,1,2,1,0,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis mellifera",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,3,1,1,3,1,5,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Augochlorella aurata",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus fervidus",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus huntii",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus spp.",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,4,0,1,0,2,0,1,0,1,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceratina spp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eucera pruinosa",0,0,0,8,0,4,25,12,17,0,3,0,42,10,0,1,0,3,0,0,25,24,0,6,20,9,13,0,25,14,0,4,7,0,2,0,21,17,15,15,12,39,13,5,1,6,11,2,2,16,5,10,0,0,0,0
"Halictus ligatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
"Halictus rubicundus",1,3,4,3,0,2,33,10,2,2,0,0,0,0,0,0,1,5,0,0,0,2,1,0,8,0,0,0,2,0,1,0,0,2,2,1,1,0,0,1,0,0,2,0,0,2,0,0,0,1,3,0,1,4,1,0
"Halictus spp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum spp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
