date,time,site,color ,level,amb_C°,C°_top_s,C°_bot_s,C°_top_b ,C°_bot_b,C°_cent_s,C°_cent_b,Humidity,Notes 
5/23/25,10:45,RUB,W,T,24.3,23.4,22.6,22.7,24.2,23.3,22.6,,
5/23/25,10:45:00 AM,RUB,B,B,,31.6,25.5,27.8,30.3,31,31.5,,
5/23/25,11:00,KCAA,B,T,,30.5,28.7,35.4,28,29.5,30.3,,
5/23/25,11:00,KCAA,W,B,,25,24.5,24,25,25.1,24.4,,
5/23/25,11:30,SAB,W,T,,28.5,27.5,27.5,27.3,27.1,27.1,,
5/23/25,11:30:00 AM,SAB,B,B,,28.8,29.8,31.5,32.4,30.3,30.3,,
5/23/25,12:10,GAB,B,T,,31.9,24.7,35.2,27.4,28.3,32,,
5/23/25,12:10,GAB,W,B,,23.6,23.3,22.2,24.7,24.4,24.4,,
5/23/25,13:15,APP,B,T,,36.6,30,41.3,29.4,32.1,32.5,,
5/23/25,13:15,APP,W,B,,24,25.8,24,26.3,26.1,26.4,,
5/23/25,13:47,EIB,W,T,,28.7,28.3,28,28.4,28.5,28.5,,
5/23/25,13:47,EIB,B,B,,29.8,30.1,31.6,31.5,30.6,30.8,,
5/23/25,14:05,SLA,B,T,,31.4,29.5,31.2,31.1,31,30.5,,
5/23/25,14:05,SLA,W,B,,27.2,27.9,27.6,27.7,28.2,28.1,,
5/23/25,14:24,WES ,W,T,,27.5,27.6,27.3,28.1,28.1,27.8,,
5/23/25,14:24,WES ,B,B,,29.5,29.3,31.2,30,30.1,30,,
5/23/25,14:56,SHO,W,T,,28.7,30.3,30,30.3,32.4,32.8,,
5/23/25,14:56,SHO,B,B,,34.2,36.7,39.9,34.5,34.1,34.9,,
5/29/25,10:18,RUB,W,T,20.7,14.2,14.4,14.3,14.4,14.4,13.7,,Overcast
5/29/25,10:18,RUB,B,B,20.7,14.8,14.8,15.8,18.5,16.3,15.6,,Overcast
5/29/25,10:44,CHA,B,T,17.7,18.1,16.7,20.5,17,17.1,17.6,,Overcast
5/29/25,10:44,CHA,W,B,17.7,14.1,14.5,14.5,14.5,14.5,14.6,,Overcast
5/29/25,11:10,COO,W,T,18,15.2,15.3,15.8,15.7,15,15.8,,Overcast
5/29/25,11:10,COO,B,B,18,19.2,17.2,21,18.6,17.1,18.2,,Overcast
5/29/25,11:29,PAL,W,T,16.9,15.1,14.6,15,15.5,15.4,15.7,,Overcast
5/29/25,11:29,PAL,B,B,16.9,18.1,16.2,18.3,18,18.4,18.1,,Overcast
5/29/25,11:42,PAR,B,T,16.7,21.2,16.6,22.9,16.2,16.2,19.3,,"Overcast, Mold"
5/29/25,11:42,PAR,W,B,16.7,14.7,16.1,15.4,15.7,16.1,15.5,,"Overcast, Mold"
5/29/25,11:57,GRE,B,T,20.2,18.1,14.8,17.7,17.1,16.1,16.1,,Overcast
5/29/25,11:57,GRE,W,B,20.2,15.5,15.1,15.2,14.8,13.8,14.3,,Overcast
5/29/25,12:26,GAB,W,T,18.6,17.5,15.2,17.5,15.7,14.4,15.2,,Overcast
5/29/25,12:26,GAB,B,B,18.6,19.3,18,21.1,15.7,16.3,17.1,,Overcast
5/23/25,11:43,CHA,B,T,28.5,35.5,28.4,32.4,30.2,31.7,29.7,,
5/23/25,11:43,CHA,W,B,28.5,25,25,26,24.5,25,24.8,,
5/23/25,12:17,COO,W,T,29.4,27.4,26.1,25.5,26.6,25.7,25.1,,
5/23/25,12:20,COO,B,B,29.4,27.5,32.4,41.4,28.5,29.2,32.2,,
5/23/25,13:25,GAB,W,T,29.5,26.9,26.6,26.3,26.2,25.5,25.4,,
5/23/25,13:25,GAB,B,B,29.5,27.1,29.6,27.7,29,27,27.5,,
5/23/25,14:00,GRE,B,T,30.3,32.1,28.4,33.3,30.9,30.7,33.3,,
5/23/25,14:00,GRE,W,B,30.3,26,26.3,26.6,26.2,26.1,25.8,,
5/23/25,14:25,PAL,W,T,32.2,31.9,31.4,31.6,30.5,30.6,31.3,,
5/23/25,14:25,PAL,B,B,32.2,32.6,33.7,39.5,33.9,32.3,33.2,,
5/23/25,14:46,PAR,B,T,31.5,36.9,35.5,37.1,33.7,35.1,33.7,,
