Site,site_code,date,plant_code,treatment,mass_g,no_seeds,length_mm,width,volume_mL,cylindrical,notes,,
Eiber School Community Garden,EIB,6/24,EIB-pol1-T,Pollinated,320.51,113,159.9,59.4,340,Yes,,,
GW School and Community Garden,GW,6/24,GW-pol2-C,Control,38.65,106,66.65,23.38,35,No,"picked too early, before yellowing",,bunch of tiny
Charles Hay Community Garden,CHA,6/24,CHA-pre-T,Pollinated,56.89,229,97.58,34.32,50,Yes,"picked too early, before yellowing",,"the number isnt wrong, it just has loads of seeds!"
Cook Park Community Garden,COO,6/24,COO-pol1-T,Pollinated,118.47,150,121.03,44.77,130,Yes,,,
Samuels School Community Garden,SAM,6/24,SAM-pol2-C,Control,87.07,96,99.12,36.76,95,No,"picked too early, before yellowing, black spines",,
Cook Park Community Garden,COO,6/24,COO-pol2-C,Control,55.91,,87.51,34.43,,No,"picked too early, before yellowing",I messed up and cant accurately mesure volume,not found for volume mesurements
Slater Elementary School Community Garden,SLA,7/1,SLA-pol2-T,Pollinated,201.034,46,127.33,61.94,220,No,,,
Gables School and Community Garden,GABL,7/1,GABL-pre-C,Control,204.195,26,115.78,66.6,210,No,Cucumber B,,
Slater Elementary School Community Garden,SLA,7/1,SLA-pol1-T,Pollinated,142.821,32,95.76,56.26,145,No,,,
Eiber School Community Garden,EIB,7/1,EIB-pre-C,Control,152.928,71,95.17,57.79,50,No,immature cucumber,,
Gables School and Community Garden,GABL,7/1,GABL-pol2-T,Pollinated,176.347,73,95.17,58.12,200,Yes,,,
Slater Elementary School Community Garden,SLA,7/1,SLA-pol1-C,Control,131.857,43,98.14,60.12,140,No,,,
Gables School and Community Garden,GABL,7/1,GABL-pre-C,Control,179.98,55,102.66,57.31,190,No,Cucumber A,,
Shoshone Community Garden,SHO,7/1,SHO-pol1-T,Pollinated,205.272,62,124.22,59.7,210,Yes,,,
Applewood Community Garden,APP,7/1,APP-pol1-T,Pollinated,129.831,118,115.17,47.59,650,Yes,black spines all over,,
West Colfax Community Urban Garden,WES,7/1,WES-pol1-C,Control,222.86,82,137.86,55.82,230,Yes,,,
West Colfax Community Urban Garden,WES,7/1,WES-pol1-T,Pollinated,306.09,129,140.82,65.06,310,Yes,,,
Eiber School Community Garden,EIB,7/1,EIB-pol2-T,Pollinated,234.93,94,124.1,62.29,210,Yes,,,
Charles Hay Community Garden,CHA,6/27,CHA-pol2-T,Pollinated,105.351,82,109.43,41.25,110,Yes,,,
Market Station Community Garden,MAR,6/27,MAR-pol2-T,Pollinated,175.319,88,135.25,51.55,190,Yes,,,
Shoshone Community Garden,SHO,6/27,SHO-pol?-C,Control,128.133,,120.11,41.05,,Yes,"I messed up, unable to accurately mesure volume.",,
Gables School and Community Garden,GABL,6/27,GABL-pol044-T,Pollinated,171.499,88,113.2,53.83,140,Yes,,,
Edison School Community Garden,EDI,6/27,EDI-pol009-T,Pollinated,179.874,108,123.63,55.71,180,Yes,,,
Sabin School Garden,SAB,6/27,SAB-pol037-C,Control,187.447,89,135.12,54.34,200,Yes,,,
Edison School Community Garden,EDI,6/27,EDI-pol1-C,Control,136.005,32,106.3,47.87,150,No,,,
Edison School Community Garden,EDI,6/27,EDI-pol007-T,Pollinated,157.54,65,126.89,47.5,170,Yes,,,
Shoshone Community Garden,SHO,6/27,SHO-pol2-T,Pollinated,126.184,59,123.38,39.97,130,Yes,,,
Market Station Community Garden,MAR,6/27,MAR-pol1-C,Control,102.21,112,118.75,38.25,100,Yes,,,
Palmer School Community Garden,PAL,7/2,PAL-pre-T,Pollinated,151.8,184,134.91,41.82,150,Yes,,,
Greenway Community Garden,GRE,7/2,GRE-pol1-C,Control,176.98,186,125.4,52.6,130,Yes,,,
Samuels School Community Garden,SAM,7/2,SAM-pol1-T,Pollinated,123.51,186,102.01,52.63,135,No,,,
Charles Hay Community Garden,CHA,7/2,CHA-pol2-C,Control,91.69,31,91.61,34.42,100,No,sickled shape,,
Greenway Community Garden,GRE,7/2,GRE-pol2-C,Control,120.01,89,111.43,47.79,180,Yes,,,
Charles Hay Community Garden,CHA,7/2,CHA-pol1-T,Pollinated,117.49,,92.31,47.02,,No,check about treatment pair,Cucumber missing RA - 4/7,
