"site_code","treatment","avg_mass","avg_seeds","avg_length","avg_width","avg_volume","prop_cylindrical","avg_seed_mass_ratio","n_cucumbers","Site","Area_m2","Plots","Lat","Long","estYear","WealthIndex","PovertyIndex","DiversityIndex","MedNetWorth","MedHomeVal","VacantHU","RenterHU","tcc_200m","imp_200m","tcc_500m","tcc_1000m","imp_500m","CWD_m2","wood_m2","FWD_m2","logs","bareground_m2","floral_area_m2","dev_high_500m","dev_low_500m","wetland_500m","water_500m","dev_high_1000m","dev_low_1000m","water_1000m","wetland_1000m","shrub_grass_1000m","gbif.rich","gbif.shannon","gbif.simpson","inat.rich","inat.shannon","inat.simpson","floral.obs"
"APP","Control",153.285,24,117.685,42.32,150,0.5,0.164035548807605,2,"Applewood Community Garden",627,28,39.76071279,-105.1446095,2007,240,10,37.9,931938,889706,23,101,10.1811594202899,47.8188405797101,10.2355658198614,12.4965457685665,51.743648960739,0,137.4375,0,0,2.66,173,0.521939953810624,0.476905311778291,0.00115473441108545,0,0.3664363845711,0.58923431203224,0.0400115141047784,0.00431778929188256,0,113.773960216998,74.8696488085985,46.6818181818183,95,66.37421467101,44.6523867809058,191
"APP","Pollinated",90.657,51.6666666666667,88.58,42.1733333333333,263.333333333333,0.333333333333333,0.447451484287634,3,"Applewood Community Garden",627,28,39.76071279,-105.1446095,2007,240,10,37.9,931938,889706,23,101,10.1811594202899,47.8188405797101,10.2355658198614,12.4965457685665,51.743648960739,0,137.4375,0,0,2.66,173,0.521939953810624,0.476905311778291,0.00115473441108545,0,0.3664363845711,0.58923431203224,0.0400115141047784,0.00431778929188256,0,113.773960216998,74.8696488085985,46.6818181818183,95,66.37421467101,44.6523867809058,191
"CHA","Control",118.598333333333,63.8333333333333,93.725,47.7983333333333,136.666666666667,0.333333333333333,0.56484164356112,6,"Charles Hay Community Garden",459,25,39.65845813,-104.9720575,2011,99,60,51,148202,665720,64,544,12.7071428571429,43.0928571428571,15.2661290322581,15.4670693126258,45.2534562211982,10.715,36.145,0,0,0,154.942,0.294930875576037,0.705069124423963,0,0,0.309462180040265,0.690537819959735,0,0,0,86.8508771929825,93.7230817054042,117.166666666667,60,48.6293682580748,38.6285714285714,104
"CHA","Pollinated",113.058714285714,85.5,95.6657142857143,48.1957142857143,108.333333333333,0.428571428571429,1.0347266794789,7,"Charles Hay Community Garden",459,25,39.65845813,-104.9720575,2011,99,60,51,148202,665720,64,544,12.7071428571429,43.0928571428571,15.2661290322581,15.4670693126258,45.2534562211982,10.715,36.145,0,0,0,154.942,0.294930875576037,0.705069124423963,0,0,0.309462180040265,0.690537819959735,0,0,0,86.8508771929825,93.7230817054042,117.166666666667,60,48.6293682580748,38.6285714285714,104
"COO","Control",190.005,69,118.16,49.75,350,0.5,0.212897253933971,2,"Cook Park Community Garden",1364,48,39.6858968,-104.9202609,2021,172,40,52.9,717011,684290,11,115,11.7357142857143,43.8857142857143,13.3302646720368,12.2594936708861,45.590333716916,8,198.105,0,3,6.7875,418.896,0.360184119677791,0.63981588032221,0,0,0.357019562715765,0.642980437284235,0,0,0,130.388305322129,109.091060244464,79.2461538461538,75,47.7221119233451,29.8414414414415,182
"COO","Pollinated",193.240909090909,103.272727272727,116.052727272727,55.8709090909091,200.909090909091,0.545454545454545,0.544848731109497,11,"Cook Park Community Garden",1364,48,39.6858968,-104.9202609,2021,172,40,52.9,717011,684290,11,115,11.7357142857143,43.8857142857143,13.3302646720368,12.2594936708861,45.590333716916,8,198.105,0,3,6.7875,418.896,0.360184119677791,0.63981588032221,0,0,0.357019562715765,0.642980437284235,0,0,0,130.388305322129,109.091060244464,79.2461538461538,75,47.7221119233451,29.8414414414415,182
"EDI","Control",158.799285714286,45,100.842857142857,54.8357142857143,165.714285714286,0.714285714285714,0.29270669933426,7,"Edison School Community Garden",523,21,39.76548756,-105.0395583,2009,132,23,48.2,400872,852482,51,467,14.6,44.45,16.2528735632184,15.0135057471264,48.3459770114943,1.875,114.04,0,0,0,171.295,0.390804597701149,0.609195402298851,0,0,0.427011494252874,0.572988505747126,0,0,0,118.727699530516,111.821469239593,75.3030303030302,51,32.6928472155839,20.5471698113207,132
"EDI","Pollinated",133.682333333333,54.6666666666667,97.665,53.4816666666667,140,0.5,0.384244988821824,6,"Edison School Community Garden",523,21,39.76548756,-105.0395583,2009,132,23,48.2,400872,852482,51,467,14.6,44.45,16.2528735632184,15.0135057471264,48.3459770114943,1.875,114.04,0,0,0,171.295,0.390804597701149,0.609195402298851,0,0,0.427011494252874,0.572988505747126,0,0,0,118.727699530516,111.821469239593,75.3030303030302,51,32.6928472155839,20.5471698113207,132
"EIB","Control",145.4945,48,97.36,55.1225,123.75,0.5,0.328596782268318,4,"Eiber School Community Garden",579,24,39.7370155,-105.1062374,2013,109,49,67.1,331736,919811,35,149,13.5179856115108,43.5323741007194,14.1660899653979,14.0494679321254,49.2572087658593,1.1375,119.26,4.38,0,0,149.111,0.391003460207612,0.608996539792388,0,0,0.370146678170837,0.629853321829163,0,0,0,81.1794871794872,67.3736760134394,47.6666666666665,58,42.4779010665301,30.9364599092284,143
"EIB","Pollinated",277.72,103.5,142,60.845,275,1,0.37634114349661,2,"Eiber School Community Garden",579,24,39.7370155,-105.1062374,2013,109,49,67.1,331736,919811,35,149,13.5179856115108,43.5323741007194,14.1660899653979,14.0494679321254,49.2572087658593,1.1375,119.26,4.38,0,0,149.111,0.391003460207612,0.608996539792388,0,0,0.370146678170837,0.629853321829163,0,0,0,81.1794871794872,67.3736760134394,47.6666666666665,58,42.4779010665301,30.9364599092284,143
"GABL","Control",137.067857142857,45.5714285714286,91.21,54.4542857142857,140.714285714286,0,0.329306587702357,7,"Gables School and Community Garden",734,32,39.67926421,-105.0937713,2017,171,31,55.4,761650,656250,7,56,12.7697841726619,43.410071942446,14.9114942528736,14.85,45.6172413793103,0,119.02,0.34,1,0,154.531,0.349425287356322,0.648275862068965,0,0.00229885057471264,0.389942528735632,0.60948275862069,0.000574712643678161,0,0,130.684210526316,115.007210693561,57,60,47.376880387308,36.7093425605536,103
"GABL","Pollinated",153.8915,56.5,95.6775,57.0525,152.5,0.75,0.351906141310729,4,"Gables School and Community Garden",734,32,39.67926421,-105.0937713,2017,171,31,55.4,761650,656250,7,56,12.7697841726619,43.410071942446,14.9114942528736,14.85,45.6172413793103,0,119.02,0.34,1,0,154.531,0.349425287356322,0.648275862068965,0,0.00229885057471264,0.389942528735632,0.60948275862069,0.000574712643678161,0,0,130.684210526316,115.007210693561,57,60,47.376880387308,36.7093425605536,103
"GABR","Control",168.92,89.25,111.98,51.0925,170,0.75,0.543976308910383,4,"Gabriel Cam Memorial Community Garden",738,30,39.72381522,-104.8309439,2017,64,106,88.7,58150,531690,86,674,9.16058394160584,45.6131386861314,9.729792147806,7.77330264672037,51.5588914549654,2.565,22.8,0,3,0,81.218,0.486143187066975,0.513856812933025,0,0,0.495684695051784,0.503164556962025,0,0.000863060989643268,0.000287686996547756,61.4166666666667,33.9116381845013,17.2297297297297,25,15.5605341902918,9.27062706270627,53
"GABR","Pollinated",179.0325,68,112.185,55.865,187.5,0.75,0.397612760017317,4,"Gabriel Cam Memorial Community Garden",738,30,39.72381522,-104.8309439,2017,64,106,88.7,58150,531690,86,674,9.16058394160584,45.6131386861314,9.729792147806,7.77330264672037,51.5588914549654,2.565,22.8,0,3,0,81.218,0.486143187066975,0.513856812933025,0,0,0.495684695051784,0.503164556962025,0,0.000863060989643268,0.000287686996547756,61.4166666666667,33.9116381845013,17.2297297297297,25,15.5605341902918,9.27062706270627,53
"GRE","Control",191.9175,111.833333333333,117.205,55.0316666666667,195.833333333333,0.833333333333333,0.606280086597347,12,"Greenway Community Garden",776,35,39.75074088,-104.8969895,2008,144,41,68.6,342481,785000,66,527,7.58695652173913,57.0289855072464,7.9816091954023,8.83635317802704,49.0344827586207,2.0575,0.65,0,0,0,179.891,0.539080459770115,0.460919540229885,0,0,0.494966925510498,0.505033074489502,0,0,0,137.913580246914,62.400309814094,25.7142857142857,57,42.1866426716896,31.2520325203252,124
"GRE","Pollinated",189.656666666667,113.666666666667,113.9525,54.9191666666667,192.916666666667,0.75,0.678927198413681,12,"Greenway Community Garden",776,35,39.75074088,-104.8969895,2008,144,41,68.6,342481,785000,66,527,7.58695652173913,57.0289855072464,7.9816091954023,8.83635317802704,49.0344827586207,2.0575,0.65,0,0,0,179.891,0.539080459770115,0.460919540229885,0,0,0.494966925510498,0.505033074489502,0,0,0,137.913580246914,62.400309814094,25.7142857142857,57,42.1866426716896,31.2520325203252,124
