"site_code","Amaranthaceae","Apiaceae","Apocynaceae","Asteraceae","Berberidaceae","Boraginaceae","Brassicaceae","Caprifoliaceae","Caryophyllaceae","Convolvulaceae","Euphorbiaceae","Fabaceae","Geraniaceae","Grossulariaceae","Lamiaceae","Lythraceae","Malvaceae","Nyctaginaceae","Oleaceae","Plantaginaceae","Polygonaceae","Rhamnaceae","Rosaceae","Saxifragaceae","Scrophulariaceae","Verbenaceae","Anacardiaceae","Campanulaceae","Celastraceae","Fagaceae","Platanaceae","Poaceae","Portulacaceae","Ranunculaceae","Salicaceae","Sapindaceae","Solanaceae","Asparagaceae","Cactaceae","Cucurbitaceae","Elaeagnaceae","Moraceae","Pinaceae","Ulmaceae","Bignoniaceae","Cannabaceae","Cleomaceae","Hydrophyllaceae","Papaveraceae","Tropaeolaceae","Vitaceae","Iridaceae","Linaceae","Rubiaceae","Violaceae","Cyperaceae","Zygophyllaceae","Amaryllidaceae","Cornaceae","Simaroubaceae","Viburnaceae","Plumbaginaceae","Asphodelaceae","Commelinaceae","Cupressaceae","Equisetaceae","Onagraceae","Araceae","Crassulaceae","Hydrodictyaceae","Liliaceae","Molluginaceae","Betulaceae","Juncaceae","Typhaceae","Marchantiaceae"
"APP",1,1,2,15,2,2,12,1,1,4,2,10,3,2,2,1,3,2,1,1,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHA",0,1,2,7,2,1,3,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COO",1,5,8,16,1,1,8,4,0,7,2,7,2,1,2,0,2,0,0,2,1,1,4,0,3,1,1,2,0,0,0,8,1,0,4,0,1,3,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EDI",0,0,4,12,0,1,2,2,1,2,1,2,1,0,3,0,4,0,1,2,4,0,0,0,2,0,0,7,0,0,0,1,1,0,0,0,4,3,1,0,0,0,1,0,2,1,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EIB",1,1,6,18,0,1,6,9,0,2,0,3,1,2,4,0,1,0,0,3,1,0,1,0,1,0,1,2,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABL",1,0,0,1,0,1,0,1,0,3,0,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABR",0,2,2,10,0,0,4,0,0,10,0,0,5,3,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRE",1,0,7,10,0,0,4,1,0,3,0,17,12,0,1,0,2,0,0,1,2,0,1,0,0,1,0,2,0,1,0,3,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GW",9,1,4,13,0,1,2,0,0,2,2,0,2,0,2,0,5,0,1,0,2,0,1,0,2,0,0,0,0,0,0,1,2,0,0,1,1,0,0,3,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEF",0,2,11,20,1,2,12,2,3,3,0,9,4,3,6,2,1,2,0,4,1,1,9,0,6,0,1,0,0,0,0,3,0,1,2,8,2,4,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,3,1,0,0,0,0,0,0,0,0,0
"KCA",0,0,1,11,0,1,0,0,0,3,0,6,0,0,1,0,1,0,1,0,1,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"MAR",9,11,14,45,3,1,21,2,9,12,7,17,6,3,6,0,13,2,1,10,4,5,6,0,4,4,7,0,0,0,0,15,4,0,8,4,16,1,2,8,0,0,1,3,3,0,4,0,3,0,3,2,0,0,0,0,2,0,0,5,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0
"PAL",1,1,1,3,0,0,1,0,0,8,1,0,0,0,2,0,5,0,2,0,1,1,2,0,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"PAR",2,0,1,5,2,0,0,1,0,1,2,1,0,0,1,0,4,0,0,2,0,1,1,0,2,0,0,2,0,0,0,1,2,1,0,1,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"RUB",0,0,5,11,0,0,1,3,1,4,0,1,0,0,2,0,3,1,0,0,0,0,1,0,3,1,0,0,0,0,0,1,3,1,3,0,1,1,0,0,0,0,2,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"SAB",3,5,10,71,0,4,5,10,0,1,1,32,0,2,2,0,1,1,1,3,2,7,13,0,2,8,4,0,6,0,0,12,0,1,14,8,1,12,6,3,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,1,1,0
"SAM",0,1,1,3,0,1,3,0,2,6,2,3,2,0,2,0,1,0,0,0,1,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SHO",4,10,17,56,6,1,11,2,0,7,5,12,3,1,9,0,14,1,0,10,3,0,9,0,5,1,7,2,1,1,0,10,0,0,6,2,11,0,0,9,0,0,3,0,3,0,10,0,5,0,1,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"SLA",1,4,11,44,0,0,14,1,1,6,1,17,0,1,1,0,1,0,0,1,3,2,0,0,6,0,1,2,1,0,0,7,0,1,3,2,5,1,0,0,0,1,0,1,1,0,4,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STE",1,1,2,9,0,0,3,0,1,7,1,5,0,0,1,0,2,0,0,2,1,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WES",0,3,8,26,1,0,2,3,0,15,1,12,0,0,6,0,1,0,0,5,2,0,1,0,1,0,1,2,0,0,0,3,0,0,2,0,0,3,0,1,1,0,1,5,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
