Site,site_code,date,pre_or_post,leaf_code,tot_leaf_area(cm),herbivory_area(cm),percent_herb
Market Station,MAR,7/22/25,PRE,MAR-PRE-T-1,99.243,0,0
Market Station,MAR,7/22/25,PRE,MAR-PRE-T-2,30.84,0,0
Market Station,MAR,7/22/2025,PRE,MAR-PRE-T-3,61.61,0.201,0.003262457393
Market Station,MAR,7/22/25,PRE,MAR-PRE-C-3,46.421,0,0
Market Station,MAR,7/22/2025,PRE,MAR-PRE-C-1,128.989,0,0
Market Station,MAR,7/22/25,PRE,MAR-PRE-C-2,163.106,0.659,0.00404031734
Ruby Hill,RUB,7/22/25,PRE,RUB-PRE-T-1,30.77,0,0
Ruby Hill,RUB,7/22/25,PRE,RUB-PRE-T-2,35.871,3.103,0.08650441861
Ruby Hill,RUB,7/22/25,PRE,RUB-PRE-T-3,68.51,1.1,0.01605605021
Ruby Hill,RUB,7/22/25,PRE,RUB-PRE-C-1,31.82,0,0
Ruby Hill,RUB,7/22/25,PRE,RUB-PRE-C-2,45.28,0,0
Ruby Hill,RUB,7/22/25,PRE,RUB-PRE-C-3,19.72,0,0
Charles Hay,CHA,7/22/25,PRE,CHA-PRE-T-1,51.654,0,0
Charles Hay,CHA,7/22/25,PRE,CHA-PRE-T-2,63.987,0,0
Charles Hay,CHA,7/22/25,PRE,CHA-PRE-T-3,104.665,0,0
Charles Hay,CHA,7/22/25,PRE,CHA-PRE-C-1,71.305,0,0
Charles Hay,CHA,7/22/25,PRE,CHA-PRE-C-2,28.064,0,0
Charles Hay,CHA,7/22/25,PRE,CHA-PRE-C-3,69.815,0,0
Cook Park,COO,7/22/25,PRE,COO-PRE-T-1,234.81,0,0
Cook Park,COO,7/22/25,PRE,COO-PRE-T-2,57.34,0,0
Cook Park,COO,7/22/25,PRE,COO-PRE-T-3,154.28,0,0
Cook Park,COO,7/22/25,PRE,COO-PRE-C-1,34.04,0,0
Cook Park,COO,7/22/25,PRE,COO-PRE-C-2,72.66,0.294,0.004046242775
Cook Park,COO,7/22/25,PRE,COO-PRE-C-3,31.94,0,0
GW School,GW,7/22/25,PRE,GW-PRE-T-1,215.1,0.615,0.002859135286
GW School,GW,7/22/25,PRE,GW-PRE-T-2,112.79,0,0
GW School,GW,7/22/25,PRE,GW-PRE-T-3,151.49,2.261,0.01492507756
GW School,GW,7/22/25,PRE,GW-PRE-C-1,60.84,0.502,0.008251150559
GW School,GW,7/22/25,PRE,GW-PRE-C-2,154.09,0,0
GW School,GW,7/22/25,PRE,GW-PRE-C-3,33.983,0,0
Steck,STE,7/22/25,PRE,STE-PRE-T-1,80.05,0,0
Steck,STE,7/22/25,PRE,STE-PRE-T-2,43.689,0,0
Steck,STE,7/22/25,PRE,STE-PRE-T-3,64.744,0,0
Steck,STE,7/22/25,PRE,STE-PRE-C-1,81.599,0.733,0.008982953222
Steck,STE,7/22/25,PRE,STE-PRE-C-2,42.257,0.202,0.004780273091
Steck,STE,7/22/25,PRE,STE-PRE-C-3,20.149,0,0
Park Hill,PAR,7/22/25,PRE,PAR-PRE-T-1,39.225,0,0
Park Hill,PAR,7/22/25,PRE,PAR-PRE-T-2,29.903,0,0
Park Hill,PAR,7/22/25,PRE,PAR-PRE-T-3,21.122,0,0
Park Hill,PAR,7/22/25,PRE,PAR-PRE-C-1,10.92,0.286,0.02619047619
Park Hill,PAR,7/22/25,PRE,PAR-PRE-C-2,21.211,0,0
Park Hill,PAR,7/22/25,PRE,PAR-PRE-C-3,19.432,0,0
Greenway,GRE,7/22/25,PRE,GRE-PRE-T-1,51.584,0,0
Greenway,GRE,7/22/25,PRE,GRE-PRE-T-2,46.115,0,0
Greenway,GRE,7/22/25,PRE,GRE-PRE-T-3,67.819,0,0
Greenway,GRE,7/22/25,PRE,GRE-PRE-C-1,44.333,0,0
Greenway,GRE,7/22/25,PRE,GRE-PRE-C-2,43.699,0.832,0.01903933728
Greenway,GRE,7/22/25,PRE,GRE-PRE-C-3,30.236,0,0
Gabriel Cam,GABR,7/22/25,PRE,GABR-PRE-C-1,57.18,0.769,0.01344875831
Gabriel Cam,GABR,7/22/25,PRE,GABR-PRE-C-2,23.567,0,0
Gabriel Cam,GABR,7/22/25,PRE,GABR-PRE-C-3,33.811,0,0
Gabriel Cam,GABR,7/22/25,PRE,GABR-PRE-T-1,37.724,0,0
Gabriel Cam,GABR,7/22/25,PRE,GABR-PRE-T-2,34.453,0,0
Gabriel Cam,GABR,7/22/25,PRE,GABR-PRE-T-3,50.409,0,0
Palmer,PAL,7/22/25,PRE,PAL-POL2-C-1,53.874,0,0
Palmer,PAL,7/22/25,PRE,PAL-POL2-C-2,75.36,0,0
Palmer,PAL,7/22/25,PRE,PAL-POL2-C-3,101.286,1.306,0.01289418083
Palmer,PAL,7/22/25,PRE,PAL-PRE-T-1,54.313,0,0
Palmer,PAL,7/22/25,PRE,PAL-PRE-T-2,39.81,0,0
Palmer,PAL,7/22/25,PRE,PAL-PRE-T-3,27.276,0,0
Samuels,SAM,7/22/25,PRE,SAM-PRE-T-1,50.978,0,0
Samuels,SAM,7/22/25,PRE,SAM-PRE-T-2,44.719,0,0
Samuels,SAM,7/22/25,PRE,SAM-PRE-T-3,23.256,0,0
Samuels,SAM,7/22/25,PRE,SAM-PRE-C-1,39.488,0,0
Samuels,SAM,7/22/25,PRE,SAM-PRE-C-2,35.077,0,0
Samuels,SAM,7/22/25,PRE,SAM-PRE-C-3,31.24,0,0
Market Station,MAR,7/25/25,POST,MAR-PRE-T-1,75.15,0,0
Market Station,MAR,7/25/25,POST,MAR-PRE-T-2,26.382,0,0
Market Station,MAR,7/25/25,POST,MAR-PRE-T-3,73.413,0.302,0.00411371283
Market Station,MAR,7/25/25,POST,MAR-PRE-C-1,151.538,0,0
Market Station,MAR,7/25/25,POST,MAR-PRE-C-2,143.019,1.214,0.008488382662
Market Station,MAR,7/25/25,POST,MAR-PRE-C-3,52.858,0,0
Ruby Hill,RUB ,7/25/25,POST,RUB-PRE-C-1,37.183,0.179,0.004814027916
Ruby Hill,RUB ,7/25/25,POST,RUB-PRE-C-2,43.9991,0,0
Ruby Hill,RUB ,7/25/25,POST,RUB-PRE-C-3,21.267,0,0
Ruby Hill,RUB ,7/25/25,POST,RUB-PRE-T-1,62.756,0,0
Ruby Hill,RUB ,7/25/25,POST,RUB-PRE-T-2,48.489,5.025,0.1036317515
Ruby Hill,RUB ,7/25/25,POST,RUB-PRE-T-3,85.786,0,0
Charles Hay,CHA,7/25/25,POST,CHA-PRE-C-1,64.934,0,0
Charles Hay,CHA,7/25/25,POST,CHA-PRE-C-2,35.929,0,0
Charles Hay,CHA,7/25/25,POST,CHA-PRE-C-3,60.914,0,0
Charles Hay,CHA,7/25/25,POST,CHA-PRE-T-1,65.549,0,0
Charles Hay,CHA,7/25/25,POST,CHA-PRE-T-2,,,#DIV/0!
Charles Hay,CHA,7/25/25,POST,CHA-PRE-T-3,96.093,0,0
Cook Park,COO,7/25/25,POST,COO-PRE-C-1,43.699,0,0
Cook Park,COO,7/25/25,POST,COO-PRE-C-2,28.872,0,0
Cook Park,COO,7/25/25,POST,COO-PRE-C-3,55.288,0.36,0.006511358704
Cook Park,COO,7/25/25,POST,COO-PRE-T-1,174.055,0,0
Cook Park,COO,7/25/25,POST,COO-PRE-T-2,57.415,0,0
Cook Park,COO,7/25/25,POST,COO-PRE-T-3,183.633,1.69,0.009203138869
GW School,GW,7/25/25,POST,GW-PRE-C-1,74.73,0,0
GW School,GW,7/25/25,POST,GW-PRE-C-2,140.915,0,0
GW School,GW,7/25/25,POST,GW-PRE-C-3,42.869,0,0
GW School,GW,7/25/25,POST,GW-PRE-T-1,228.01,0.593,0.002600763124
GW School,GW,7/25/25,POST,GW-PRE-T-2,110.238,0.827,0.007501950326
GW School,GW,7/25/25,POST,GW-PRE-T-3,116.147,0,0
Samuels,SAM,7/25/25,POST,SAM-PRE-T-1,40.958,0,0
Samuels,SAM,7/25/25,POST,SAM-PRE-T-2,43.02,0,0
Samuels,SAM,7/25/25,POST,SAM-PRE-T-3,28.987,0,0
Samuels,SAM,7/25/25,POST,SAM-PRE-C-1,61.746,0,0
Samuels,SAM,7/25/25,POST,SAM-PRE-C-2,39.477,0,0
Samuels,SAM,7/25/25,POST,SAM-PRE-C-3,46.355,0,0
