"site_code","Amaranthaceae","Amaryllidaceae","Apiaceae","Apocynaceae","Asphodelaceae","Asteraceae","Bignoniaceae","Boraginaceae","Brassicaceae","Campanulaceae","Caprifoliaceae","Caryophyllaceae","Convolvulaceae","Cucurbitaceae","Fabaceae","Lamiaceae","Lythraceae","Malvaceae","Nyctaginaceae","Papaveraceae","Plantaginaceae","Poaceae","Ranunculaceae","Rosaceae","Scrophulariaceae","Solanaceae","Crassulaceae","Portulacaceae","Polemoniaceae","Tropaeolaceae","Verbenaceae","Geraniaceae","Cleomaceae","Euphorbiaceae","Linaceae","Onagraceae","Balsaminaceae","Aizoaceae","Hydrangeaceae","Rubiaceae","Zygophyllaceae","Cannaceae","Asparagaceae","Iridaceae","Montiaceae","Polygonaceae","Magnoliaceae","Gentianaceae","Plumbaginaceae","Liliaceae","Oleaceae","Cannabaceae","Violaceae"
"APP",3,5,4,1,1,70,1,6,5,2,3,3,5,30,1,13,1,5,2,1,4,3,5,4,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHA",2,3,4,0,0,34,0,0,7,2,0,0,7,14,3,3,0,1,0,1,0,1,0,1,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COO",1,5,12,0,0,50,0,3,6,0,0,1,8,31,6,14,0,2,0,1,3,1,2,1,0,30,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EDI",0,4,7,0,0,60,0,1,3,0,0,2,0,10,1,9,0,3,0,0,2,0,4,0,0,23,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EIB",1,8,12,0,0,48,0,5,3,0,0,0,5,12,0,11,0,0,0,13,1,0,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABL",2,3,3,0,2,43,0,2,4,1,0,1,4,6,0,8,0,1,0,5,3,0,0,1,0,9,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABR",2,0,0,0,0,18,0,0,1,0,0,1,14,5,2,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRE",0,3,14,0,0,47,0,1,0,0,1,1,3,8,5,14,1,0,1,0,2,2,5,0,0,12,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GW",2,2,4,0,0,28,0,2,3,1,0,0,1,16,3,2,0,0,0,0,1,0,2,0,1,10,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEF",2,6,1,0,0,82,0,7,5,0,0,3,5,17,5,23,0,2,1,0,6,0,1,0,1,38,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCA",1,0,1,0,0,34,0,1,1,0,0,0,7,8,1,5,0,1,0,0,0,0,0,1,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",2,0,0,1,0,19,0,0,1,0,1,0,0,6,0,9,0,0,0,0,0,0,0,0,0,15,0,1,0,0,1,0,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PAL",1,3,4,0,0,25,1,0,0,0,0,0,9,9,1,7,0,0,0,2,1,0,1,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAR",3,3,10,2,1,81,0,0,4,1,0,1,5,19,4,16,0,3,0,0,3,3,2,2,3,14,0,3,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0
"RUB",0,3,8,0,0,65,0,2,2,0,0,0,17,20,3,21,0,12,0,2,2,0,7,2,1,18,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SAB",0,1,4,0,0,35,0,1,0,0,6,0,1,12,0,11,0,1,0,0,1,0,1,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0
"SAM",0,5,13,0,6,61,0,2,5,0,1,0,9,16,11,15,0,3,0,0,5,1,1,2,0,27,0,0,1,2,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
"SHO",0,3,3,0,0,51,0,0,2,1,2,3,5,4,1,12,0,1,0,0,1,1,2,2,2,9,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLA",0,5,4,0,0,31,0,1,1,0,0,2,6,13,1,7,0,0,0,4,1,1,10,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STE",2,0,3,0,0,27,0,1,1,1,1,1,2,7,0,1,0,5,0,0,1,0,1,0,0,4,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WES",0,2,5,1,0,68,0,2,7,1,0,0,15,15,6,18,0,0,0,2,5,0,3,5,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
