Date_deployed,Date_collected,Site,site_code,Treatment,Predation,Notes
7/2/25,7/5/25,Steck,STE,Control,0,
7/2/25,7/5/25,Steck,STE,Treated,1,
7/2/25,7/5/25,Greenway,GRE,Control,0.22,Fail
7/2/25,7/5/25,Greenway,GRE,Treated,0.44,
7/2/25,7/5/25,Samuels,SAM,Control,0,
7/2/25,7/5/25,Samuels,SAM,Treated,0.44,
7/2/25,7/5/25,Charles Hay,CHA,Control,0,
7/2/25,7/5/25,Charles Hay,CHA,Treated,0.55,
7/2/25,7/5/25,Palmer,PAL,Control,0,
7/2/25,7/5/25,Palmer,PAL,Treated,0,
7/2/25,7/5/25,Park Hill,PAR,Control,0,
7/2/25,7/5/25,Park Hill,PAR,Treated,0.44,
7/2/25,7/5/25,GW School,GW,Control,1,Fail
7/2/25,7/5/25,GW School,GW,Treated,0.11,
7/2/25,7/5/25,Cook Park,COO,Control,0,
7/2/25,7/5/25,Cook Park,COO,Treated,0.55,
7/2/25,7/5/25,Ruby Hill,RUB,Control,0.55,Fail
7/2/25,7/5/25,Ruby Hill,RUB,Treated,0.55,
7/2/25,7/5/25,West Colfax,WES,Control,0,
7/2/25,7/5/25,West Colfax,WES,Treated,0,
7/2/25,7/5/25,Slater,SLA,Control,0,
7/2/25,7/5/25,Slater,SLA,Treated,0.11,
7/2/25,7/5/25,Eiber,EIB,Control,0,
7/2/25,7/5/25,Eiber,EIB,Treated,0,
7/2/25,7/5/25,Edison,EDI,Control,1,Fail
7/2/25,7/5/25,Edison,EDI,Treated,1,
7/2/25,7/5/25,Applewood,APP,Control,0.33,Fail
7/2/25,7/5/25,Applewood,APP,Treated,1,
7/2/25,7/5/25,Gables,GABL,Control,0.22,Fail
7/2/25,7/5/25,Gables,GABL,Treated,0.44,
7/2/25,7/5/25,Jefferson,JEF,Control,0.77,Fail
7/2/25,7/5/25,Jefferson,JEF,Treated,1,
7/2/25,7/5/25,Sabin,SAB,Control,0,
7/2/25,7/5/25,Sabin,SAB,Treated,1,
7/2/25,7/5/25,Market Station,MAR,Control,0,
7/2/25,7/5/25,Market Station,MAR,Treated,0.33,
7/2/25,7/5/25,KCAA,KCA,Control,0,
7/2/25,7/5/25,KCAA,KCA,Treated,0.55,
7/2/25,7/5/25,Shoshone,SHO,Control,0,
7/2/25,7/5/25,Shoshone,SHO,Treated,0.66,
6/17/25,6/20/25,Sabin,SAB,Control,0,
6/17/25,6/20/25,Sabin,SAB,Treated,0.22,
6/17/25,6/20/25,Jefferson,JEF,Control,1,Fail
6/17/25,6/20/25,Jefferson,JEF,Treated,1,
6/17/25,6/20/25,Gables,GABL,Control,1,Fail
6/17/25,6/20/25,Gables,GABL,Treated,1,
6/17/25,6/20/25,Shoshone,SHO,Control,0.11,Fail
6/17/25,6/20/25,Shoshone,SHO,Treated,0.11,
6/17/25,6/20/25,Market Station,MAR,Control,0,
6/17/25,6/20/25,Market Station,MAR,Treated,0.11,
6/17/25,6/20/25,Applewood,APP,Control,0.55,Fail
6/17/25,6/20/25,Applewood,APP,Treated,0.11,
6/17/25,6/20/25,Slater,SLA,Control,0.11,Fail
6/17/25,6/20/25,Slater,SLA,Treated,0,
6/17/25,6/20/25,Edison,EDI,Control,1,Fail/watering
6/17/25,6/20/25,Edison,EDI,Treated,0.88,
6/17/25,6/20/25,West Colfax,WES,Control,0.33,Fail
6/17/25,6/20/25,West Colfax,WES,Treated,0.55,
6/17/25,6/20/25,Eiber,EIB,Control,0,
6/17/25,6/20/25,Eiber,EIB,Treated,0.33,
6/17/25,6/20/25,Ruby Hill,RUB,Control,0,
6/17/25,6/20/25,Ruby Hill,RUB,Treated,0.33,spider
6/17/25,6/20/25,Cook Park,COO,Control,0,
6/17/25,6/20/25,Cook Park,COO,Treated,0.33,
6/17/25,6/20/25,Park Hill,PAR,Control,0,
6/17/25,6/20/25,Park Hill,PAR,Treated,1,
6/17/25,6/20/25,Charles Hay,CHA,Control,0.11,Fail
6/17/25,6/20/25,Charles Hay,CHA,Treated,0.22,
6/17/25,6/20/25,Gabriel Cam,GABR,Control,0,
6/17/25,6/20/25,Gabriel Cam,GABR,Treated,0,
6/17/25,6/20/25,Palmer,PAL,Control,0,
