"site_code","month","n.det","n.herb","n.omn","n.pol","n.pred","n.NA","Site","Area_m2","Plots","Lat","Long","estYear","WealthIndex","PovertyIndex","DiversityIndex","MedNetWorth","MedHomeVal","VacantHU","RenterHU","tcc_200m","imp_200m","tcc_500m","tcc_1000m","imp_500m","CWD_m2","wood_m2","FWD_m2","logs","bareground_m2","floral_area_m2","dev_high_500m","dev_low_500m","wetland_500m","water_500m","dev_high_1000m","dev_low_1000m","water_1000m","wetland_1000m","shrub_grass_1000m","gbif.rich","gbif.shannon","gbif.simpson","inat.rich","inat.shannon","inat.simpson","floral.obs","delta_mass","delta_seeds","delta_length","delta_width","delta_volume","delta_cylindrical","delta_seed_mass_ratio","delta_no","n.obs","bee.rich","bee.shannon","bee.simpson"
"APP","August",6,7,4,64,6,11,"Applewood Community Garden",627,28,39.76071279,-105.1446095,2007,240,10,37.9,931938,889706,23,101,10.1811594202899,47.8188405797101,10.2355658198614,12.4965457685665,51.743648960739,0,137.4375,0,0,2.66,173,0.521939953810624,0.476905311778291,0.00115473441108545,0,0.3664363845711,0.58923431203224,0.0400115141047784,0.00431778929188256,0,113.773960216998,74.8696488085985,46.6818181818183,95,66.37421467101,44.6523867809058,191,62.628,-27.6666666666667,29.105,0.146666666666668,-113.333333333333,0.166666666666667,-0.283415935480029,-1,98,10,5.47164047659469,4.09808102345416
"APP","July",43,376,41,47,52,12,"Applewood Community Garden",627,28,39.76071279,-105.1446095,2007,240,10,37.9,931938,889706,23,101,10.1811594202899,47.8188405797101,10.2355658198614,12.4965457685665,51.743648960739,0,137.4375,0,0,2.66,173,0.521939953810624,0.476905311778291,0.00115473441108545,0,0.3664363845711,0.58923431203224,0.0400115141047784,0.00431778929188256,0,113.773960216998,74.8696488085985,46.6818181818183,95,66.37421467101,44.6523867809058,191,62.628,-27.6666666666667,29.105,0.146666666666668,-113.333333333333,0.166666666666667,-0.283415935480029,-1,571,6,3.4413408417648,2.65399737876802
"APP","June",47,9,8,0,6,10,"Applewood Community Garden",627,28,39.76071279,-105.1446095,2007,240,10,37.9,931938,889706,23,101,10.1811594202899,47.8188405797101,10.2355658198614,12.4965457685665,51.743648960739,0,137.4375,0,0,2.66,173,0.521939953810624,0.476905311778291,0.00115473441108545,0,0.3664363845711,0.58923431203224,0.0400115141047784,0.00431778929188256,0,113.773960216998,74.8696488085985,46.6818181818183,95,66.37421467101,44.6523867809058,191,62.628,-27.6666666666667,29.105,0.146666666666668,-113.333333333333,0.166666666666667,-0.283415935480029,-1,80,NA,NA,NA
"CHA","August",5,7,6,86,11,4,"Charles Hay Community Garden",459,25,39.65845813,-104.9720575,2011,99,60,51,148202,665720,64,544,12.7071428571429,43.0928571428571,15.2661290322581,15.4670693126258,45.2534562211982,10.715,36.145,0,0,0,154.942,0.294930875576037,0.705069124423963,0,0,0.309462180040265,0.690537819959735,0,0,0,86.8508771929825,93.7230817054042,117.166666666667,60,48.6293682580748,38.6285714285714,104,5.53961904761904,-21.6666666666667,-1.94071428571429,-0.397380952380956,28.3333333333333,-0.0952380952380952,-0.469885035917779,-1,119,9,2.71678813316719,1.89446721311475
"CHA","July",1,135,2,94,15,12,"Charles Hay Community Garden",459,25,39.65845813,-104.9720575,2011,99,60,51,148202,665720,64,544,12.7071428571429,43.0928571428571,15.2661290322581,15.4670693126258,45.2534562211982,10.715,36.145,0,0,0,154.942,0.294930875576037,0.705069124423963,0,0,0.309462180040265,0.690537819959735,0,0,0,86.8508771929825,93.7230817054042,117.166666666667,60,48.6293682580748,38.6285714285714,104,5.53961904761904,-21.6666666666667,-1.94071428571429,-0.397380952380956,28.3333333333333,-0.0952380952380952,-0.469885035917779,-1,259,13,4.9612079094716,2.93554817275747
"CHA","June",27,28,12,7,7,25,"Charles Hay Community Garden",459,25,39.65845813,-104.9720575,2011,99,60,51,148202,665720,64,544,12.7071428571429,43.0928571428571,15.2661290322581,15.4670693126258,45.2534562211982,10.715,36.145,0,0,0,154.942,0.294930875576037,0.705069124423963,0,0,0.309462180040265,0.690537819959735,0,0,0,86.8508771929825,93.7230817054042,117.166666666667,60,48.6293682580748,38.6285714285714,104,5.53961904761904,-21.6666666666667,-1.94071428571429,-0.397380952380956,28.3333333333333,-0.0952380952380952,-0.469885035917779,-1,106,5,4.37136934400712,3.76923076923077
"COO","August",14,13,8,55,26,34,"Cook Park Community Garden",1364,48,39.6858968,-104.9202609,2021,172,40,52.9,717011,684290,11,115,11.7357142857143,43.8857142857143,13.3302646720368,12.2594936708861,45.590333716916,8,198.105,0,3,6.7875,418.896,0.360184119677791,0.63981588032221,0,0,0.357019562715765,0.642980437284235,0,0,0,130.388305322129,109.091060244464,79.2461538461538,75,47.7221119233451,29.8414414414415,182,-3.2359090909091,-34.2727272727273,2.10727272727273,-6.1209090909091,149.090909090909,-0.0454545454545454,-0.331951477175526,-9,150,9,3.26408166175888,2.32165605095541
"COO","July",21,65,4,37,19,13,"Cook Park Community Garden",1364,48,39.6858968,-104.9202609,2021,172,40,52.9,717011,684290,11,115,11.7357142857143,43.8857142857143,13.3302646720368,12.2594936708861,45.590333716916,8,198.105,0,3,6.7875,418.896,0.360184119677791,0.63981588032221,0,0,0.357019562715765,0.642980437284235,0,0,0,130.388305322129,109.091060244464,79.2461538461538,75,47.7221119233451,29.8414414414415,182,-3.2359090909091,-34.2727272727273,2.10727272727273,-6.1209090909091,149.090909090909,-0.0454545454545454,-0.331951477175526,-9,159,6,3.02506603764062,2.4755877034358
"COO","June",18,93,6,1,18,6,"Cook Park Community Garden",1364,48,39.6858968,-104.9202609,2021,172,40,52.9,717011,684290,11,115,11.7357142857143,43.8857142857143,13.3302646720368,12.2594936708861,45.590333716916,8,198.105,0,3,6.7875,418.896,0.360184119677791,0.63981588032221,0,0,0.357019562715765,0.642980437284235,0,0,0,130.388305322129,109.091060244464,79.2461538461538,75,47.7221119233451,29.8414414414415,182,-3.2359090909091,-34.2727272727273,2.10727272727273,-6.1209090909091,149.090909090909,-0.0454545454545454,-0.331951477175526,-9,142,1,1,1
"EDI","August",1,5,1,0,3,9,"Edison School Community Garden",523,21,39.76548756,-105.0395583,2009,132,23,48.2,400872,852482,51,467,14.6,44.45,16.2528735632184,15.0135057471264,48.3459770114943,1.875,114.04,0,0,0,171.295,0.390804597701149,0.609195402298851,0,0,0.427011494252874,0.572988505747126,0,0,0,118.727699530516,111.821469239593,75.3030303030302,51,32.6928472155839,20.5471698113207,132,25.1169523809524,-9.66666666666666,3.17785714285715,1.35404761904761,25.7142857142857,0.214285714285714,-0.0915382894875641,1,19,NA,NA,NA
