"Site","site_code","Area_m2","Plots","WealthIndex","tcc200m","imp200m","tcc500m","imp500m","CWD_m2","wood_m2","FWD_m2","logs","bareground_m2","floral_area_m2","dev_high500m","dev_low500m","wetland500m","water500m","dev_high1000m","dev_low1000m","water1000m","wetland1000m","shrub_grass1000m","floral.obs","flor.rich","flor.shannon","flor.simpson"
"Applewood Community Garden","APP",627,28,240,10.20143885,47.74100719,10.23076923,51.66704937,0,137.4375,0,0,2.66,173,0.52304394,0.475884244,0.001071811,0,0.36215018,0.59240787,0.0407315046,0.0047104461,0,191,95,66.37421467101,44.6523867809058
"Charles Hay Community Garden","CHA",459,25,99,12.70714286,43.09285714,15.27157652,45.27617952,10.715,36.145,0,0,0,154.942,0.30638298,0.693617021,0,0,0.30943814,0.69056186,0,0,0,104,60,48.6293682580748,38.6285714285714
"Cook Park Community Garden","COO",1364,48,172,11.73571429,43.88571429,13.33409874,45.60849598,8,198.105,0,3,6.7875,418.896,0.36247335,0.637526652,0,0,0.36124203,0.63875797,0,0,0,182,75,47.7221119233451,29.8414414414415
"Edison School Community Garden","EDI",523,21,132,14.6,44.45,16.23428571,48.40571429,1.875,114.04,0,0,0,171.295,0.39936102,0.600638978,0,0,0.42298085,0.57701915,0,0,0,132,51,32.6928472155839,20.5471698113207
"Eiber School Community Garden","EIB",579,24,109,13.53571429,43.52857143,14.18828932,49.17566016,1.1375,119.26,4.38,0,0,149.111,0.39636752,0.603632479,0,0,0.37174515,0.62825485,0,0,0,143,58,42.4779010665301,30.9364599092284
"Gables School and Community Garden","GABL",734,32,171,12.76978417,43.41007194,14.89220183,45.58256881,0,119.02,0.34,1,0,154.531,0.34935897,0.648504274,0,0.002136752,0.39142462,0.60802213,0.0005532503,0,0,103,60,47.376880387308,36.7093425605536
"Gabriel Cam Memorial Community Garden","GABR",738,30,64,9.160583942,45.61313869,9.752009185,51.54305396,2.565,22.8,0,3,0,81.218,0.49304813,0.506951872,0,0,0.49626142,0.50235392,0,0.0008307948,0.0005538632,53,25,15.5605341902918,9.27062706270627
"Greenway Community Garden","GRE",776,35,144,7.6,56.92142857,7.970251716,49.03546911,2.0575,0.65,0,0,0,179.891,0.53903743,0.460962567,0,0,0.49196676,0.50803324,0,0,0,124,57,42.1866426716896,31.2520325203252
"GW School and Community Garden","GW",474,13,157,3.464285714,53.03571429,7.095183486,52.36353211,0,37.44,0,1,12.2075,123.114,0.56990395,0.430096051,0,0,0.50055494,0.49944506,0,0,0,81,49,38.5708711382307,29.6877828054298
"Jefferson Green Community Garden","JEF",1104,28,66,13.89781022,45.51094891,12.30080367,47.19862227,0,175.9325,0,3,5.39,226.324,0.44064171,0.559358289,0,0,0.3514262,0.50401551,0.0008307948,0.101910828,0.0418166713,212,92,62.0891194896476,42.0823970037453
"KCAA Community Studio Garden","KCA",332,18,106,12.15,46.25,14.04123711,41.28636884,2.11,80.945,0,0,4.395,52.937,0.24733475,0.720682303,0.002132196,0.029850746,0.24014436,0.73431427,0.0233203776,0.0022209883,0,78,50,42.534023024532,35.3720930232558
"Market Station Community Garden","MAR",489,33,105,0.2949640288,85.15827338,0.5812356979,82.097254,0,5.75,0,0,0,34.947,0.9989373,0.001062699,0,0,0.95669073,0.04330927,0,0,0,64,34,26.3275214981617,20.6868686868687
"Palmer School Community Garden","PAL",649,20,138,14.62142857,43.30714286,14.22183908,45.03563218,0,129.1329,0,0,0,131.517,0.28601921,0.71398079,0,0,0.27984453,0.72015547,0,0,0,78,39,30.5444568653944,24.1428571428571
"Park Hill School Garden","PAR",738,16,243,22.05714286,37.74285714,17.71788991,39.8440367,1.3,17.4225,4.8,0,11.47,225.194,0.18696581,0.813034188,0,0,0.178522,0.821478,0,0,0,192,98,68.5977849272838,44.7378640776698
"Ruby Hill Park Community Garden","RUB",858,56,62,6.928057554,27.20143885,10.23482245,33.73081329,0.765,40.67,2.38,0,0,231.329,0.20704376,0.792956243,0,0,0.37576093,0.62119535,0.0030437189,0,0,193,79,52.8456462087093,32.0283748925194
"Sabin School Garden","SAB",887,27,135,11.30215827,43.58992806,14.72852234,45.35624284,0,488.9025,0,0,0,93.095,0.34010695,0.659893048,0,0,0.36026563,0.60846707,0.0016602103,0.0229662424,0.0066408412,93,54,43.7241676552235,35.3020408163266
"Samuels School Community Garden","SAM",1642,55,157,12.58571429,42.82142857,16.23569794,38.48627002,15.815,135.9875,0.51,0,0,330.368,0.19871795,0.801282051,0,0,0.43217054,0.56782946,0,0,0,195,102,75.0491233870329,52.1604938271605
"Shoshone Community Garden","SHO",415,12,108,8.434782609,60.99275362,9.577675489,59.71921749,0,145.15,0,2,0,51.768,0.81497326,0.185026738,0,0,0.76177285,0.23822715,0,0,0,111,68,54.1329993549251,38.8675078864353
"Slater Elementary School Community Garden","SLA",635,26,110,11.2173913,42.67391304,13.62025316,35.30840046,0,0,0,0,0,157.872,0.06303419,0.936965812,0,0,0.06980609,0.84376731,0.0326869806,0.0083102493,0.0454293629,101,58,45.555876446417,35.2975778546713
"Steck School Community Garden","STE",465,17,272,23.29496403,34,20.81672394,40.29667812,0.54,194.425,0.385,0,0,135.039,0.24089936,0.759100642,0,0,0.39778393,0.60221607,0,0,0,63,38,32.6379678535732,28.1489361702128
"West Colfax Community Urban Garden","WES",1108,38,82,11.43065693,41.71532847,12.36009174,45.48623853,9.5975,0,1.1475,0,104.04,212.637,0.36256684,0.637433155,0,0,0.50304709,0.49695291,0,0,0,184,66,41.2899966861059,26.45
