"class","order","fam","genus","fun_group","n.obs"
"Arachnida","Acariformes","Unknown","Unknown","Parasite",2
"Arachnida","Acariformes","Unknown","Unknown","Unknown",147
"Arachnida","Araneae","Dysderidae","Dysdera","Predator",9
"Arachnida","Araneae","Linyphiidae","Unknown","Predator",1
"Arachnida","Araneae","Lycosidae","Schizocosa","Predator",2
"Arachnida","Araneae","Salticidae","Unknown","Predator",10
"Arachnida","Araneae","Thomisidae","Unknown","Predator",1
"Arachnida","Araneae","Unknown","Unknown","Predator",152
"Arachnida","Ixodida","Ixodidae","Unknown","Sanguivore",1
"Arachnida","Ixodida","Unknown","Unknown","Sanguivore",1
"Arachnida","Opiliones","Unknown","Unknown","Predator",4
"Arachnida","Opiliones","Unknown","Unknown","Predator/Scavenger",50
"Arachnida","Pseudoscorpiones","Unknown","Unknown","Predator",3
"Arachnida","Trombidiformes","Anystidae","Unknown","Predator",1
"Arachnida","Trombidiformes","Tetranychidae","Tetranychus","Herbivore",1
"Arachnida","Trombidiformes","Unknown","Unknown","Herbivore",12
"Arachnida","Trombidiformes","Unknown","Unknown","Unknown",12
"Arachnida","Unknown","Unknown","Unknown","Predator",10
"Arachnida","Unknown","Unknown","Unknown","Unknown",26
"Chilopoda","Unknown","Unknown","Unknown","Predator",24
"Clitellata","Unknown","Unknown","Unknown","Detritivore",1
"Collembola","Unknown","Unknown","Unknown","Detritivore",90
"Diplopoda","Polyxenida","Unknown","Unknown","Detritivore",1
"Diplopoda","Unknown","Unknown","Unknown","Detritivore",55
"Entognatha","Diplura","Unknown","Unknown","Predator",2
"Entognatha","Protura","Unknown","Unknown","Detritivore",2
"Gastropoda","Unknown","Unknown","Unknown","Herbivore",1
"Insecta","Araneae","Unknown","Unknown","Predator",1
"Insecta","Coleoptera","Anthicidae","Anthicus","Scavenger",1
"Insecta","Coleoptera","Anthocoridae","Orius","Predator",1
"Insecta","Coleoptera","Carabidae","Bradycellus","Predator",1
"Insecta","Coleoptera","Carabidae","Unknown","Predator",5
"Insecta","Coleoptera","Cerambycidae","Unknown","Herbivore",3
"Insecta","Coleoptera","Chrysomelidae","Unknown","Herbivore",7
"Insecta","Coleoptera","Cicadellidae","Unknown","Herbivore",2
"Insecta","Coleoptera","Cleridae","Chariessa","Predator",1
"Insecta","Coleoptera","Coccinellidae","Coccinella","Predator",1
"Insecta","Coleoptera","Coccinellidae","Unknown","Predator",18
"Insecta","Coleoptera","Curculionidae","Scolytus","Herbivore",13
"Insecta","Coleoptera","Curculionidae","Sphenophorus","Herbivore",2
"Insecta","Coleoptera","Curculionidae","Unknown","Herbivore",22
"Insecta","Coleoptera","Curculionidae","Xyleborinus","Herbivore",2
"Insecta","Coleoptera","Curculionidae","Xylosandrus","Herbivore",1
"Insecta","Coleoptera","Dermestidae","Unknown","Detritivore",2
"Insecta","Coleoptera","Elateridae","Unknown","Herbivore",5
"Insecta","Coleoptera","Erotylidae","Cryptophilus","Fungivore",1
"Insecta","Coleoptera","Erotylidae","Unknown","Fungivore",1
"Insecta","Coleoptera","Lampyridae","Unknown","Predator",4
"Insecta","Coleoptera","Latridiidae","Unknown","Fungivore",7
"Insecta","Coleoptera","Meloidae","Epicauta","Herbivore",7
"Insecta","Coleoptera","Meloidae","Unknown","Herbivore",16
"Insecta","Coleoptera","Mordellidae","Unknown","Pollinator",1
"Insecta","Coleoptera","Mycetophagidae","Unknown","Fungivore",1
"Insecta","Coleoptera","Nitidulidae","Glischrochilus","Herbivore",2
"Insecta","Coleoptera","Nitidulidae","Nitops","Detritivore",25
"Insecta","Coleoptera","Nitidulidae","Nitops","Herbivore",15
"Insecta","Coleoptera","Scarabaeidae","Ataenius","Detritivore",1
"Insecta","Coleoptera","Scarabaeidae","Euphoria","Detritivore",133
"Insecta","Coleoptera","Scarabaeidae","Pleurophorus","Detritivore",1
"Insecta","Coleoptera","Scarabaeidae","Popillia","Herbivore",81
"Insecta","Coleoptera","Scarabaeidae","Unknown","Detritivore",1
"Insecta","Coleoptera","Scarabaeidae","Unknown","Herbivore",11
"Insecta","Coleoptera","Staphylinidae","Heterosilpha","Omnivore",1
"Insecta","Coleoptera","Staphylinidae","Unknown","Omnivore",1
"Insecta","Coleoptera","Staphylinidae","Unknown","Predator",29
"Insecta","Coleoptera","Tenebrionidae","Bothrotes","Detritivore",1
"Insecta","Coleoptera","Tenebrionidae","Unknown","Detritivore",1
"Insecta","Coleoptera","Unknown","Unknown","Herbivore",5
"Insecta","Coleoptera","Unknown","Unknown","Predator",2
"Insecta","Coleoptera","Unknown","Unknown","Unknown",168
"Insecta","Dermaptera","Forficulidae","Forficula","Omnivore",3
"Insecta","Dermaptera","Unknown","Unknown","Omnivore",18
"Insecta","Dermaptera","Unknown","Unknown","Predator",2
"Insecta","Diptera","Anisopodidae","Sylvicola","Detritivore",1
"Insecta","Diptera","Anthomyiidae","Delia","Herbivore",2
"Insecta","Diptera","Anthomyiidae","Unknown","Unknown",1
"Insecta","Diptera","Calliphoridae","Protophormia","Scavenger",1
"Insecta","Diptera","Calliphoridae","Unknown","Scavenger",2
"Insecta","Diptera","Ceratopogonidae","Culicoides","Sanguivore",1
"Insecta","Diptera","Ceratopogonidae","Unknown","Sanguivore",1
"Insecta","Diptera","Chironomidae","Unknown","Detritivore",5
"Insecta","Diptera","Chloropidae","Meromyza","Herbivore",1
"Insecta","Diptera","Conopidae","Zodion","Parasitoid",1
"Insecta","Diptera","Culicidae","Unknown","Sanguivore",26
"Insecta","Diptera","Drosophilidae","Drosophila","Detritivore",1
"Insecta","Diptera","Drosophilidae","Unknown","Detritivore",1
"Insecta","Diptera","Muscidae","Musca","Detritivore",4
"Insecta","Diptera","Muscidae","Unknown","Detritivore",19
"Insecta","Diptera","Muscidae","Unknown","Unknown",18
"Insecta","Diptera","Mycetophilidae","Unknown","Fungivore",1
"Insecta","Diptera","Polleniidae","Pollenia","Herbivore",2
"Insecta","Diptera","Syrphidae","Toxomerus","Pollinator",2
"Insecta","Diptera","Syrphidae","Unknown","Pollinator",3
"Insecta","Diptera","Tachinidae","Unknown","Parasitoid",6
"Insecta","Diptera","Therevidae","Unknown","Predator",1
"Insecta","Diptera","Unknown","Unknown","Detritivore",4
"Insecta","Diptera","Unknown","Unknown","Herbivore",1
"Insecta","Diptera","Unknown","Unknown","Pollinator",1
"Insecta","Diptera","Unknown","Unknown","Sanguivore",4
"Insecta","Diptera","Unknown","Unknown","Unknown",188
"Insecta","Hemiptera","Anthocoridae","Orius","Omnivore",1
"Insecta","Hemiptera","Anthocoridae","Orius","Predator",401
"Insecta","Hemiptera","Aphididae","Unknown","Herbivore",133
"Insecta","Hemiptera","Aphididae ","Unknown","Herbivore",1
"Insecta","Hemiptera","Cicadellidae","Agallia","Herbivore",2
"Insecta","Hemiptera","Cicadellidae","Anascopus","Herbivore",1
"Insecta","Hemiptera","Cicadellidae","Ceratagallia","Herbivore",5
"Insecta","Hemiptera","Cicadellidae","Unknown","Herbivore",198
"Insecta","Hemiptera","Cydnidae","Amnestus","Herbivore",1
"Insecta","Hemiptera","Geocoridae","Geocoris","Predator",3
"Insecta","Hemiptera","Miridae","Ceratocapsus","Herbivore",2
"Insecta","Hemiptera","Miridae","Chlamydatus","Herbivore",3
"Insecta","Hemiptera","Miridae","Chlamydatus","Predator",1
"Insecta","Hemiptera","Miridae","Lygus","Herbivore",5
"Insecta","Hemiptera","Miridae","Orthops","Herbivore",3
"Insecta","Hemiptera","Miridae","Pseudatomoscelis","Herbivore",37
"Insecta","Hemiptera","Miridae","Unknown","Herbivore",2
"Insecta","Hemiptera","Nabidae","Nabis","Predator",2
"Insecta","Hemiptera","Notonectidae","Buenoa","Predator",1
"Insecta","Hemiptera","Pentatomidae","Thyanta","Herbivore",1
"Insecta","Hemiptera","Reduviidae","Unknown","Predator",4
"Insecta","Hemiptera","Rhopalidae","Brachycarenus","Herbivore",1
"Insecta","Hemiptera","Rhyparochromidae","Emblethis","Detritivore",1
"Insecta","Hemiptera","Rhyparochromidae","Megalonotus","Granivore",1
"Insecta","Hemiptera","Rhyparochromidae","Megaolonotus","Herbivore",1
"Insecta","Hemiptera","Tingidae","Unknown","Herbivore",9
"Insecta","Hemiptera","Unknown","Unknown","Detritivore",1
"Insecta","Hemiptera","Unknown","Unknown","Herbivore",10
"Insecta","Hemiptera","Unknown","Unknown","Unknown",100
"Insecta","Hymenoptera","Andrenidae","Perdita","Pollinator",4
"Insecta","Hymenoptera","Andrenidae","Protandrena","Pollinator",1
"Insecta","Hymenoptera","Apidae","Anthophora","Pollinator",1
"Insecta","Hymenoptera","Apidae","Apis","Pollinator",33
"Insecta","Hymenoptera","Apidae","Bombus","Pollinator",43
"Insecta","Hymenoptera","Apidae","Brachymelecta","Kleptoparasite",1
"Insecta","Hymenoptera","Apidae","Ceratina","Pollinator",1
"Insecta","Hymenoptera","Apidae","Diadasia","Pollinator",9
"Insecta","Hymenoptera","Apidae","Eucera","Pollinator",460
"Insecta","Hymenoptera","Apidae","Melissodes","Pollinator",688
"Insecta","Hymenoptera","Apidae","Melitoma","Pollinator",4
"Insecta","Hymenoptera","Apidae","Svastra","Pollinator",1
"Insecta","Hymenoptera","Apidae","Unknown","Pollinator",11
"Insecta","Hymenoptera","Bethylidae","Unknown","Parasitoid",1
"Insecta","Hymenoptera","Braconidae","Unknown","Parasitoid",4
"Insecta","Hymenoptera","Chalcididae","Unknown","Parasitoid",4
"Insecta","Hymenoptera","Eulophidae","Unknown","Parasitoid",1
"Insecta","Hymenoptera","Formicidae","Lasius","Omnivore",1
"Insecta","Hymenoptera","Formicidae","Tetramorium","Omnivore",28
"Insecta","Hymenoptera","Formicidae","Unknown","Omnivore",437
"Insecta","Hymenoptera","Halictidae","Agapostemon","Pollinator",41
"Insecta","Hymenoptera","Halictidae","Augochlorella","Pollinator",8
"Insecta","Hymenoptera","Halictidae","Halictus","Pollinator",171
"Insecta","Hymenoptera","Halictidae","Lasioglossum Dialictus","Pollinator",64
"Insecta","Hymenoptera","Halictidae","Lasioglossum Evylaeus","Pollinator",14
"Insecta","Hymenoptera","Halictidae","Lasioglossum Evylaeus","Unknown",1
"Insecta","Hymenoptera","Halictidae","Lasioglossum Sensu Stricto","Pollinator",6
"Insecta","Hymenoptera","Halictidae","Sphecodes","Kleptoparasite",4
"Insecta","Hymenoptera","Halictidae","Unknown","Pollinator",2
"Insecta","Hymenoptera","Megachilidae","Hoplitis","Pollinator",1
"Insecta","Hymenoptera","Megachilidae","Lithurgopsis","Pollinator",2
"Insecta","Hymenoptera","Megachilidae","Megachile","Pollinator",5
"Insecta","Hymenoptera","Megachilidae","Osmia","Pollinator",2
"Insecta","Hymenoptera","Megachilidae","Unknown","Pollinator",1
"Insecta","Hymenoptera","Mymaridae","Unknown","Parasitoid",3
"Insecta","Hymenoptera","Pompilidae","Unknown","Predator",1
"Insecta","Hymenoptera","Scelionidae","Unknown","Parasitoid",2
"Insecta","Hymenoptera","Sphecidae","Unknown","Parasitoid",1
"Insecta","Hymenoptera","Unknown","Unknown","Parasitoid",17
"Insecta","Hymenoptera","Unknown","Unknown","Pollinator",4
"Insecta","Hymenoptera","Unknown","Unknown","Predator",8
"Insecta","Hymenoptera","Vespidae","Polistes","Predator",1
"Insecta","Hymenoptera","Vespidae","Unknown","Predator",26
"Insecta","Hymenoptera","Vespidae","Vespula","Predator",1
"Insecta","Lepidoptera","Hesperiidae","Unknown","Pollinator",3
"Insecta","Lepidoptera","Papilionidae","Papilio","Pollinator",1
"Insecta","Lepidoptera","Unknown","Unknown","Pollinator",8
"Insecta","Lepidoptera","Unknown","Unknown","Unknown",1
"Insecta","Neuroptera","Chrysopidae","Unknown","Predator",80
"Insecta","Neuroptera","Hemerobiidae","Unknown","Predator",2
"Insecta","Orthoptera","Acrididae","Unknown","Herbivore",5
"Insecta","Orthoptera","Unknown","Unknown","Herbivore",1
"Insecta","Psocodea","Lachesillidae","Lachesilla","Detritivore",3
"Insecta","Thysanoptera","Aeolothripidae","Aeolothrips","Predator",3
"Insecta","Thysanoptera","Aeolothripidae","Unknown","Predator",1
"Insecta","Thysanoptera","Thripidae","Unknown","Herbivore",588
"Insecta","Thysanoptera","Unknown","Unknown","Herbivore",1467
"Insecta","Thysanoptera","Unknown","Unknown","Predator",1
"Insecta","Trichoptera","Unknown","Unknown","Aquatic Scavenger",2
"Insecta","Unknown","Unknown","Unknown","Unknown",22
"Insecta ","Hemiptera","Cicadellidae","Unknown","Herbivore",2
"Insecta ","Hemiptera","Miridae","Unknown","Predator",1
"Insecta ","Hymenoptera","Chalcididae","Unknown","Parasitoid",2
"Insecta ","Hymenoptera","Formicidae","Unknown","Omnivore",9
"Malacostraca","Isopoda","Armadillidae","Armadillidium","Detritivore",18
"Malacostraca","Isopoda","Armadillidae","Unknown","Detritivore",86
"Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Detritivore",32
"Malacostraca","Isopoda","Armadillidiidae","Unknown","Detritivore",18
"Malacostraca","Isopoda","Unknown","Unknown","Detritivore",43
"Unknown","Unknown","Unknown","Unknown","Unknown",10
