"fam","genus","specie","n.obs"
"Andrenidae","Perdita","sp1",1
"Andrenidae","Perdita","sp2",1
"Andrenidae","Perdita","sp3",1
"Andrenidae","Perdita","spp.",1
"Andrenidae","Protandrena","spp.",1
"Apidae","Anthophora","montana",1
"Apidae","Apis","mellifera",33
"Apidae","Bombus","bifarius",3
"Apidae","Bombus","fervidus",26
"Apidae","Bombus","huntii",12
"Apidae","Bombus","nevadensis",1
"Apidae","Bombus","pensylvanicus",1
"Apidae","Brachymelecta","interrupta",1
"Apidae","Ceratina","spp.",1
"Apidae","Diadasia","australis",4
"Apidae","Diadasia","enavata",3
"Apidae","Diadasia","rinconis",2
"Apidae","Eucera","pruinosa",460
"Apidae","Melissodes","agilis",604
"Apidae","Melissodes","bimaculatus",66
"Apidae","Melissodes","communis",1
"Apidae","Melissodes","coreopsis",1
"Apidae","Melissodes","niveus",7
"Apidae","Melissodes","sp1",1
"Apidae","Melissodes","sp2",2
"Apidae","Melissodes","spp.",4
"Apidae","Melissodes","tristis",2
"Apidae","Melitoma","grisella",4
"Apidae","Svastra","obliqua",1
"Apidae","Unknown","spp.",11
"Halictidae","Agapostemon","angelicus/texanus",11
"Halictidae","Agapostemon","femoratus",8
"Halictidae","Agapostemon","virescens",22
"Halictidae","Augochlorella","aurata",8
"Halictidae","Halictus","confusus",1
"Halictidae","Halictus","farinosus",1
"Halictidae","Halictus","ligatus",10
"Halictidae","Halictus","rubicundus",105
"Halictidae","Halictus","spp.",1
"Halictidae","Halictus","tripartitus",53
"Halictidae","Lasioglossum Dialictus","semicaeruleum",29
"Halictidae","Lasioglossum Dialictus","spp.",5
"Halictidae","Lasioglossum Dialictus","versans",1
"Halictidae","Lasioglossum Dialictus","zephyrus",29
"Halictidae","Lasioglossum Evylaeus","spp.",15
"Halictidae","Lasioglossum Sensu Stricto","sisymbri",1
"Halictidae","Lasioglossum Sensu Stricto","spp.",5
"Halictidae","Sphecodes","davisii",1
"Halictidae","Sphecodes","spp.",3
"Halictidae","Unknown","spp.",2
"Megachilidae","Hoplitis","producta",1
"Megachilidae","Lithurgopsis","apicalis",2
"Megachilidae","Megachile","brevis",1
"Megachilidae","Megachile","centuncularis",1
"Megachilidae","Megachile","nivalis",1
"Megachilidae","Megachile","parallela",1
"Megachilidae","Megachile","rotundata",1
"Megachilidae","Osmia","inermis",2
"Megachilidae","Unknown","spp.",1
