"part","term","statistic","total arthropod abundance","pollinator abundance","herbivore abundance","natural enemy abundance","bee richness","bee shannon","bee simpson","cucumber sem"
"estimates","b_Intercept","estimate","4.227","3.132","2.391","2.865","1.755","1.167","0.928",""
"estimates","b_Intercept","conf.int","[4.018, 4.447]","[2.816, 3.443]","[1.999, 2.796]","[2.630, 3.116]","[1.567, 1.927]","[0.981, 1.346]","[0.751, 1.110]",""
"estimates","b_imp200m_s","estimate","-0.497","-0.508","-0.457","-0.414","-0.337","-0.249","-0.196",""
"estimates","b_imp200m_s","conf.int","[-0.682, -0.307]","[-0.784, -0.242]","[-0.746, -0.134]","[-0.601, -0.232]","[-0.513, -0.169]","[-0.395, -0.107]","[-0.339, -0.053]",""
"estimates","b_WealthIndex_s","estimate","0.084","0.079","0.076","0.078","","","",""
"estimates","b_WealthIndex_s","conf.int","[-0.098, 0.261]","[-0.151, 0.316]","[-0.222, 0.360]","[-0.078, 0.241]","","","",""
"estimates","b_monthJuly","estimate","0.855","0.388","1.800","0.517","0.257","0.297","0.277",""
"estimates","b_monthJuly","conf.int","[0.633, 1.074]","[0.020, 0.761]","[1.368, 2.186]","[0.201, 0.828]","[0.048, 0.465]","[0.069, 0.514]","[0.063, 0.478]",""
"estimates","b_monthJune","estimate","-0.203","-1.363","0.320","-0.212","-0.395","-0.067","0.098",""
"estimates","b_monthJune","conf.int","[-0.428, 0.019]","[-1.775, -0.924]","[-0.119, 0.711]","[-0.520, 0.098]","[-0.639, -0.153]","[-0.286, 0.167]","[-0.126, 0.311]",""
"estimates","bs_sWealthIndex_s_1","estimate","","","","","-0.082","-0.052","-0.035",""
"estimates","bs_sWealthIndex_s_1","conf.int","","","","","[-0.477, 0.302]","[-0.403, 0.322]","[-0.360, 0.325]",""
"estimates","sigma","estimate","","","","","","0.394","0.367",""
"estimates","sigma","conf.int","","","","","","[0.318, 0.499]","[0.295, 0.465]",""
"estimates","b_beeshannons_Intercept","estimate","","","","","","","","0.229"
"estimates","b_beeshannons_Intercept","conf.int","","","","","","","","[-0.250, 0.677]"
"estimates","b_beeshannons_imp200m_s","estimate","","","","","","","","-0.580"
"estimates","b_beeshannons_imp200m_s","conf.int","","","","","","","","[-0.914, -0.206]"
"estimates","b_beeshannons_WealthIndex_s","estimate","","","","","","","","-0.054"
"estimates","b_beeshannons_WealthIndex_s","conf.int","","","","","","","","[-0.454, 0.352]"
"estimates","b_beeshannons_IWealthIndex_sE2","estimate","","","","","","","","-0.226"
"estimates","b_beeshannons_IWealthIndex_sE2","conf.int","","","","","","","","[-0.536, 0.082]"
"estimates","sigma_beeshannons","estimate","","","","","","","","0.808"
"estimates","sigma_beeshannons","conf.int","","","","","","","","[0.599, 1.145]"
"estimates","b_deltano_Intercept","estimate","","","","","","","","0.254"
"estimates","b_deltano_Intercept","conf.int","","","","","","","","[-0.711, 1.055]"
"estimates","b_deltano_bee.shannon_s","estimate","","","","","","","","1.173"
"estimates","b_deltano_bee.shannon_s","conf.int","","","","","","","","[0.283, 2.011]"
"estimates","sigma_deltano","estimate","","","","","","","","1.681"
"estimates","sigma_deltano","conf.int","","","","","","","","[0.976, 2.648]"
"estimates","sd_site_code__Intercept","estimate","0.333","0.312","0.542","0.171","0.094","0.150","0.174",""
"estimates","sd_site_code__Intercept","conf.int","[0.190, 0.537]","[0.027, 0.615]","[0.097, 0.931]","[0.008, 0.410]","[0.004, 0.287]","[0.008, 0.329]","[0.016, 0.353]",""
"gof","Num.Obs.","","63","63","63","63","59","59","59","21"
"gof","R2","","0.678","0.523","0.443","0.440","0.525","0.466","0.415",""
"gof","R2 Marg.","","0.493","0.416","0.254","0.385","0.479","0.364","0.261",""
"gof","algorithm","","","","","","","","","sample"
"gof","pss","","","","","","","","","6000"
